,Date,Day_of_Week,dell_gtrends,hp_gtrends,ibm_gtrends,seagate_gtrends,westdig_gtrends,intc_gtrends,intc_Last Price,intc_Volume,hp_Last Price,hp_Volume,ibm_Last Price,ibm_Volume,seagate_Last Price,seagate_Volume,westdig_Last Price,westdig_Volume,dow_Last Price,dow_Volume,nasdaq_Last Price,nasdaq_Volume,sandp_Last Price,sandp_Volume,,Date,EUR_USD_Price,Date,Gold_Price,Date,CLYH_Price,3/9/2018,52.189999,32727900
8,3/19/2018,1.00,35,32,31,0,0,3,50.830002,31115200,23.2,20053000,157.35,9263000,60.4,7073000,103.16,4434000,24610.91,349359000,7344.244,575578000,2712.92,634089000,1,19-Mar-18,1.2335,19-Mar-18,"1,317.80",,,3/8/2018,50.740002,29481200
11,3/16/2018,1.00,27,33,0,0,48,7,51.169998,42559800,23.51,9305000,160.26,3632000,60.09,4136000,106.45,2696000,24946.51,102685000,7481.988,490337000,2752.01,517767000,1,16-Mar-18,1.2289,16-Mar-18,"1,312.30",,,3/7/2018,51.32,31801900
12,3/15/2018,0.00,36,16,31,0,0,6,50.880001,25631200,23.48,16956000,159.61,4186000,59.57,4375000,102.23,3976000,24873.66,110557000,7481.742,518100000,2747.33,587912000,1,15-Mar-18,1.2305,15-Mar-18,"1,317.80",,,3/6/2018,50.709999,39132300
13,3/14/2018,7.00,35,0,17,0,0,9,51.860001,24993500,23.48,19627000,158.12,5063000,59.93,3246000,103.2,6893000,24758.12,99534000,7496.811,584272000,2749.48,604761000,1,14-Mar-18,1.2367,14-Mar-18,"1,325.60",,,3/5/2018,49.75,30826500
14,3/13/2018,6.00,18,0,4,16,23,10,51.779999,45573900,23.62,12893000,159.32,5022000,59.68,4784000,102.91,5762000,25007.03,102188000,7511.012,539608000,2765.31,586467000,1,13-Mar-18,1.239,13-Mar-18,"1,327.10",,,3/2/2018,48.98,33310600
15,3/12/2018,5.00,18,32,9,33,0,9,51.52,32044400,23.83,7113000,160.26,6456000,60.21,8549000,102.86,4541000,25178.61,88859000,7588.325,562440000,2783.02,580605000,1,12-Mar-18,1.2334,12-Mar-18,"1,320.80",,,3/1/2018,47.84,36326600
18,3/9/2018,6.00,28,0,9,51,49,12,52.189999,32727900,24.65,9878000,159.31,3686000,60.19,3798000,99.55,6005000,25335.74,93405000,7560.811,550174000,2786.57,569776000,1,9-Mar-18,1.2307,9-Mar-18,"1,324.00",,,2/28/2018,49.290001,35541200
19,3/8/2018,6.00,27,16,4,49,0,10,50.740002,29481200,23.95,10034000,156.21,3671000,58.88,4328000,97.22,6594000,24895.21,105005000,7427.946,546330000,2738.97,559826000,1,8-Mar-18,1.2312,8-Mar-18,"1,321.70",,,2/27/2018,49.91,43624100
20,3/7/2018,5.00,18,32,13,49,23,5,51.32,31801900,24.04,10113000,158.32,3261000,56.3,3143000,95.27,3411000,24801.36,120190000,7396.649,510518000,2726.8,619738000,1,7-Mar-18,1.2413,7-Mar-18,"1,327.60",19-Mar-18,26.48,2/26/2018,49.110001,26992300
21,3/6/2018,4.00,35,16,4,16,23,8,50.709999,39132300,23.95,12042000,155.72,4039000,56.23,5929000,93.8,2505000,24884.12,135696000,7372.007,564020000,2728.12,646045000,1,6-Mar-18,1.2404,6-Mar-18,"1,335.20",16-Mar-18,26.5,2/23/2018,47.73,26040900
