,IBM spots,IBM vols,dates,DELL spots,DELL vols,HP spots,HP vols,WESTDIG spots,WESTDIG vols,SEAGATE spots,SEAGATE vols
0,157.35,5481000.0,2018-03-19,77.97,1152000.0,23.2,9930000.0,103.16,4434000.0,60.4,6849000.0
1,160.26,9263000.0,2018-03-16,77.96,1228000.0,23.51,20053000.0,106.45,7290000.0,60.09,7073000.0
2,159.61,3871000.0,2018-03-15,77.62,1151000.0,23.48,10320000.0,102.23,2696000.0,59.57,2882000.0
3,158.12,3632000.0,2018-03-14,77.82,920749.0,23.48,9305000.0,103.2,3976000.0,59.93,4136000.0
4,159.32,4186000.0,2018-03-13,77.34,1421000.0,23.62,16956000.0,102.91,6893000.0,59.68,4375000.0
5,160.26,5063000.0,2018-03-12,77.78,1348000.0,23.83,19627000.0,102.86,5762000.0,60.21,3246000.0
6,159.31,5022000.0,2018-03-09,78.48,1280000.0,24.65,12893000.0,99.55,4541000.0,60.19,4784000.0
7,156.21,6456000.0,2018-03-08,77.42,1987000.0,23.95,7113000.0,97.22,4115999.9999999995,58.88,8549000.0
8,158.32,4608000.0,2018-03-07,77.3,2180000.0,24.04,8421000.0,95.27,6005000.0,56.3,3225000.0
9,155.72,3686000.0,2018-03-06,75.6,1733000.0,23.95,9878000.0,93.8,6594000.0,56.23,3798000.0
10,156.95,3671000.0,2018-03-05,74.0,1885000.0,23.69,10034000.0,89.95,3411000.0,55.14,4328000.0
11,154.49,3261000.0,2018-03-02,73.66,2416000.0,23.57,10113000.0,88.25,2505000.0,54.12,3143000.0
12,153.81,4038999.9999999995,2018-03-01,75.37,5708000.0,23.35,12042000.0,87.27,3554000.0,54.0,5929000.0
13,155.83,3804000.0,2018-02-28,74.29,1952000.0,23.39,13426000.0,87.04,3101000.0,53.4,4306000.0
14,156.55,4237000.0,2018-02-27,72.74,1118000.0,23.52,15106000.0,87.19,3411000.0,52.87,3663000.0
15,158.58,3610000.0,2018-02-26,72.39,826233.0,23.46,21394000.0,89.22,2757000.0,53.55,2972000.0
16,155.52,3256000.0,2018-02-23,71.78,1315000.0,22.13,22297000.0,89.14,4260000.0,53.29,3214000.0
17,153.18,4025000.0000000005,2018-02-22,70.56,1580000.0,21.39,10726000.0,85.53,2271000.0,51.36,2121000.0
18,153.96,3729000.0,2018-02-21,69.92,1297000.0,21.17,7528000.0,85.67,2586000.0,51.44,2345000.0
19,155.16,4490000.0,2018-02-20,69.82,1487000.0,21.39,8085000.000000001,86.46,3762000.0,52.12,2636000.0
20,156.18,4283000.0,2018-02-16,69.79,1267000.0,21.4,6082000.0,84.91,2997000.0,51.42,2739000.0
21,156.01,5624000.0,2018-02-15,69.03,1263000.0,21.45,8134000.0,84.54,3133000.0,51.52,3208000.0
22,154.76,5479000.0,2018-02-14,69.87,1751000.0,21.29,12152000.0,83.33,3273000.0,51.37,3675000.0
23,150.75,4891000.0,2018-02-13,68.3,1791000.0,20.58,11649000.0,82.97,2943000.0,49.63,2920000.0
24,151.4,5881000.0,2018-02-12,68.03,2290000.0,20.41,12508000.0,82.34,3297000.0,49.17,3380000.0
25,149.51,7828000.0,2018-02-09,67.3,2585000.0,20.11,13216000.0,80.59,4629000.0,47.82,5633000.0
26,147.59,6779000.0,2018-02-08,65.62,3441000.0,19.92,16751000.000000002,80.09,3792000.0,47.44,4588000.0
27,153.85,6149000.0,2018-02-07,66.77,2017000.0,21.21,11839000.0,83.71,3738000.0,49.55,6043000.0
28,155.34,9868000.0,2018-02-06,67.23,3120000.0,21.43,20440000.0,84.25,4836000.0,48.68,9557000.0
29,152.53,8747000.0,2018-02-05,67.58,3299000.0,21.29,13314000.0,81.45,5205000.0,49.65,7359000.0
30,159.03,5252000.0,2018-02-02,70.9,5468000.0,22.48,9163000.0,85.25,5010000.0,51.77,6567000.0
31,162.4,4434000.0,2018-02-01,70.25,4685000.0,23.3,7318000.0,87.65,3555000.0,54.44,5356000.0
32,163.7,4073000.0000000005,2018-01-31,71.7,5984000.0,23.32,13705000.0,88.98,8524000.0,55.2,5110000.0
33,163.62,4902000.0,2018-01-30,70.08,6051000.0,23.44,7973000.0,87.08,4731000.0,54.98,7756000.0
34,166.8,3517000.0,2018-01-29,74.8,18466000.0,23.81,7036000.0,87.45,5005000.0,55.11,8941000.0
35,167.34,3788000.0,2018-01-26,82.74,35704000.0,23.91,8113000.0,89.6,8188000.000000001,54.94,7319000.0
36,165.47,3303000.0,2018-01-25,88.44,775098.0,23.32,7274000.0,87.99,7284000.0,53.17,3618000.0
37,165.37,5645000.0,2018-01-24,88.37,792120.0,23.66,6781000.0,86.97,4697000.0,52.97,5552000.0
38,166.25,7466000.0,2018-01-23,89.11,831312.0,23.81,7840000.0,87.34,3081000.0,54.06,3192000.0
39,162.6,8481000.0,2018-01-22,88.93,1333000.0,23.85,9151000.0,86.24,4534000.0,53.16,3592000.0
40,162.37,21172000.0,2018-01-19,88.49,860277.0,23.7,11551000.0,85.6,3939000.0,52.62,3871000.0
41,169.12,14259000.0,2018-01-18,88.39,960839.0,23.29,12277000.0,86.4,4604000.0,52.01,3982000.0
42,168.65,11710000.0,2018-01-17,88.11,767503.0,23.46,11151000.0,85.16,4398000.0,52.14,4114000.0
43,163.85,7794000.0,2018-01-16,86.09,693913.0,22.88,9312000.0,83.88,5574000.0,51.51,6885000.0
44,163.14,5032000.0,2018-01-12,86.75,1538000.0,22.92,8822000.0,83.12,2991000.0,51.26,7747000.0
45,164.2,3794000.0,2018-01-11,86.83,913555.0,22.41,8356000.0,82.25,3822000.0,49.005,6247000.0
46,164.18,4174000.0000000005,2018-01-10,84.61,678536.0,22.05,8443000.0,80.91,4941000.0,47.07,3809000.0
47,163.83,4342000.0,2018-01-09,84.28,777118.0,21.81,7859000.0,80.62,3811000.0,46.39,10500000.0
48,163.47,5238000.0,2018-01-08,85.38,1038999.9999999999,21.84,5770000.0,81.44,4875000.0,46.0,23461000.0
49,162.49,5196000.0,2018-01-05,85.4,694669.0,21.75,6751000.0,82.69,2727000.0,42.94,2183000.0
50,161.7,7556000.0,2018-01-04,84.78,1387000.0,21.53,7654000.0,82.17,5173000.0,42.64,2825000.0
51,158.49,9442000.0,2018-01-03,83.3,1599000.0,21.37,5958000.0,82.67,3253000.0,42.85,3446000.0
52,154.25,4203000.0,2018-01-02,82.43,665592.0,21.32,6457000.0,81.38,3894000.0,42.93,2888000.0
53,153.42,3327000.0,2017-12-29,81.28,882122.0,21.01,5204000.0,79.53,2790000.0,41.84,1866000.0
54,154.04,2688000.0,2017-12-28,81.03,1398000.0,21.15,5214000.0,80.64,2303000.0,42.02,1369000.0
55,153.13,2149000.0,2017-12-27,81.26,1153000.0,21.27,7605000.0,80.96,2633000.0,42.11,1935000.0
56,152.83,2479000.0,2017-12-26,81.38,1502000.0,21.23,3015000.0,80.0,3904000.0,42.14,2969000.0
57,152.5,2991000.0,2017-12-22,82.08,1028000.0,21.26,4099999.9999999995,80.68,2125000.0,42.17,1714000.0
58,151.5,4154000.0,2017-12-21,82.54,845956.0,21.25,8742000.0,80.83,4922000.0,41.96,3425000.0
59,152.95,3786000.0,2017-12-20,83.35,1586000.0,21.46,7347000.0,82.77,4747000.0,41.53,3323000.0
60,153.23,4115999.9999999995,2017-12-19,83.34,2351000.0,21.42,9773000.0,84.24,3938000.0,42.18,4553000.0
61,153.33,5093000.0,2017-12-18,84.77,2104000.0,21.29,12156000.0,83.62,3880000.0,42.99,4629000.0
62,152.5,11280000.0,2017-12-15,80.99,1589000.0,20.92,19023000.0,81.62,7161000.0,42.02,6242000.0
63,154.0,4637000.0,2017-12-14,79.76,1086000.0,20.74,8161000.0,82.64,3240000.0,41.94,3302000.0
64,153.91,5662000.0,2017-12-13,80.19,1634000.0,20.85,9157000.0,83.63,6421000.0,42.08,4509000.0
65,156.74,6322000.0,2017-12-12,79.25,2135000.0,20.98,7175000.0,81.77,2604000.0,42.12,6355000.0
66,155.41,4102999.9999999995,2017-12-11,79.29,1216000.0,21.3,7731000.0,81.2,2511000.0,40.47,3741000.0
67,154.81,3520000.0,2017-12-08,77.25,2874000.0,21.07,13822000.0,81.47,5060000.0,40.49,5502000.0
68,153.57,3771000.0,2017-12-07,75.89,2009999.9999999998,20.97,8451000.0,78.35,2672000.0,39.58,3725000.0
69,154.1,3411000.0,2017-12-06,75.06,2197000.0,21.02,10032000.0,77.86,3518000.0,39.18,2520000.0
70,155.35,5068000.0,2017-12-05,74.47,1720000.0,21.07,9209000.0,78.56,4598000.0,39.13,3946000.0
