Date,dell_gtrends,hp_gtrends,ibm_gtrends,seagate_gtrends,westdig_gtrends,dell_Last Price,dell_Volume,hp_Last Price,hp_Volume,ibm_Last Price,ibm_Volume,seagate_Last Price,seagate_Volume,westdig_Last Price,westdig_Volume,dow_Last Price,dow_Volume,nasdaq_Last Price,nasdaq_Volume,sandp_Last Price,sandp_Volume
3/19/2018,35,32,31,0,0,77.97,1228000,23.2,20053000,157.35,9263000,60.4,7073000,103.16,4434000,24610.91,349359000,7344.244,575578000,2712.92,634089000
3/16/2018,27,33,0,0,48,77.96,920749,23.51,9305000,160.26,3632000,60.09,4136000,106.45,2696000,24946.51,102685000,7481.988,490337000,2752.01,517767000
3/15/2018,36,16,31,0,0,77.62,1421000,23.48,16956000,159.61,4186000,59.57,4375000,102.23,3976000,24873.66,110557000,7481.742,518100000,2747.33,587912000
3/14/2018,35,0,17,0,0,77.82,1348000,23.48,19627000,158.12,5063000,59.93,3246000,103.2,6893000,24758.12,99534000,7496.811,584272000,2749.48,604761000
3/13/2018,18,0,4,16,23,77.34,1280000,23.62,12893000,159.32,5022000,59.68,4784000,102.91,5762000,25007.03,102188000,7511.012,539608000,2765.31,586467000
3/12/2018,18,32,9,33,0,77.78,1987000,23.83,7113000,160.26,6456000,60.21,8549000,102.86,4541000,25178.61,88859000,7588.325,562440000,2783.02,580605000
3/9/2018,28,0,9,51,49,78.48,1733000,24.65,9878000,159.31,3686000,60.19,3798000,99.55,6005000,25335.74,93405000,7560.811,550174000,2786.57,569776000
3/8/2018,27,16,4,49,0,77.42,1885000,23.95,10034000,156.21,3671000,58.88,4328000,97.22,6594000,24895.21,105005000,7427.946,546330000,2738.97,559826000
3/7/2018,18,32,13,49,23,77.3,2416000,24.04,10113000,158.32,3261000,56.3,3143000,95.27,3411000,24801.36,120190000,7396.649,510518000,2726.8,619738000
3/6/2018,35,16,4,16,23,75.6,5708000,23.95,12042000,155.72,4039000,56.23,5929000,93.8,2505000,24884.12,135696000,7372.007,564020000,2728.12,646045000
3/5/2018,35,0,35,16,0,74,1952000,23.69,13426000,156.95,3804000,55.14,4306000,89.95,3554000,24874.76,135542000,7330.705,596208000,2720.94,737842000
3/2/2018,18,0,23,0,24,73.66,826233,23.57,21394000,154.49,3610000,54.12,2972000,88.25,3411000,24538.06,123398000,7257.867,532821000,2691.25,621882000
3/1/2018,35,31,4,0,0,75.37,1315000,23.35,22297000,153.81,3256000,54,3214000,87.27,2757000,24608.98,91400000,7180.562,450924000,2677.67,559643000
2/28/2018,26,31,9,16,0,74.29,1580000,23.39,10726000,155.83,4025000,53.4,2121000,87.04,4260000,25029.2,96387000,7273.009,446872000,2713.83,488629000
