,date,dell_gtrends,hp_gtrends,ibm_gtrends,seagate_gtrends,westdig_gtrends,dell_Last Price,dell_Volume,hp_Last Price,hp_Volume,ibm_Last Price,ibm_Volume,seagate_Last Price,seagate_Volume,westdig_Last Price,westdig_Volume,dow_Last Price,dow_Volume,nasdaq_Last Price,nasdaq_Volume,sandp_Last Price,sandp_Volume
0,3/27/18,36,,,0,0,,,,,,,,,,,,,,,,
1,3/26/18,18,33,,0,23,,,,,,,,,,,,,,,,
2,3/25/18,0,37,0,0,0,,,,,,,,,,,,,,,,
3,3/24/18,21,0,5,0,0,,,,,,,,,,,,,,,,
4,3/23/18,55,17,5,0,0,,,,,,,,,,,,,,,,
5,3/22/18,54,0,9,17,0,,,,,,,,,,,,,,,,
6,3/21/18,35,16,9,33,23,,,,,,,,,,,,,,,,
7,3/20/18,18,16,9,0,0,,,,,,,,,,,,,,,,
8,3/19/18,35,32,31,0,0,77.97,1228000,23.2,20053000,157.35,9263000,60.4,7073000,103.16,4434000,24610.91,349359000,7344.244,575578000,2712.92,634089000
9,3/18/18,0,0,10,0,26,,,,,,,,,,,,,,,,
10,3/17/18,0,18,10,0,0,,,,,,,,,,,,,,,,
11,3/16/18,27,33,0,0,48,77.96,920749,23.51,9305000,160.26,3632000,60.09,4136000,106.45,2696000,24946.51,102685000,7481.988,490337000,2752.01,517767000
12,3/15/18,36,16,31,0,0,77.62,1421000,23.48,16956000,159.61,4186000,59.57,4375000,102.23,3976000,24873.66,110557000,7481.742,518100000,2747.33,587912000
13,3/14/18,35,0,17,0,0,77.82,1348000,23.48,19627000,158.12,5063000,59.93,3246000,103.2,6893000,24758.12,99534000,7496.811,584272000,2749.48,604761000
14,3/13/18,18,0,4,16,23,77.34,1280000,23.62,12893000,159.32,5022000,59.68,4784000,102.91,5762000,25007.03,102188000,7511.012,539608000,2765.31,586467000
15,3/12/18,18,32,9,33,0,77.78,1987000,23.83,7113000,160.26,6456000,60.21,8549000,102.86,4541000,25178.61,88859000,7588.325,562440000,2783.02,580605000
16,3/11/18,20,18,0,18,26,,,,,,,,,,,,,,,,
17,3/10/18,0,18,0,19,0,,,,,,,,,,,,,,,,
18,3/9/18,28,0,9,51,49,78.48,1733000,24.65,9878000,159.31,3686000,60.19,3798000,99.55,6005000,25335.74,93405000,7560.811,550174000,2786.57,569776000
19,3/8/18,27,16,4,49,0,77.42,1885000,23.95,10034000,156.21,3671000,58.88,4328000,97.22,6594000,24895.21,105005000,7427.946,546330000,2738.97,559826000
20,3/7/18,18,32,13,49,23,77.3,2416000,24.04,10113000,158.32,3261000,56.3,3143000,95.27,3411000,24801.36,120190000,7396.649,510518000,2726.8,619738000
21,3/6/18,35,16,4,16,23,75.6,5708000,23.95,12042000,155.72,4039000,56.23,5929000,93.8,2505000,24884.12,135696000,7372.007,564020000,2728.12,646045000
22,3/5/18,35,0,35,16,0,74,1952000,23.69,13426000,156.95,3804000,55.14,4306000,89.95,3554000,24874.76,135542000,7330.705,596208000,2720.94,737842000
23,3/4/18,20,0,15,0,26,,,,,,,,,,,,,,,,
24,3/3/18,41,0,5,0,0,,,,,,,,,,,,,,,,
25,3/2/18,18,0,23,0,24,73.66,826233,23.57,21394000,154.49,3610000,54.12,2972000,88.25,3411000,24538.06,123398000,7257.867,532821000,2691.25,621882000
26,3/1/18,35,31,4,0,0,75.37,1315000,23.35,22297000,153.81,3256000,54,3214000,87.27,2757000,24608.98,91400000,7180.562,450924000,2677.67,559643000
27,2/28/18,26,31,9,16,0,74.29,1580000,23.39,10726000,155.83,4025000,53.4,2121000,87.04,4260000,25029.2,96387000,7273.009,446872000,2713.83,488629000
28,2/27/18,26,47,9,32,0,72.74,1297000,23.52,7528000,156.55,3729000,52.87,2345000,87.19,2271000,25410.03,124435000,7330.354,467278000,2744.28,539433000
29,2/26/18,26,31,17,0,0,72.39,1487000,23.46,8085000,158.58,4490000,53.55,2636000,89.22,2586000,25709.27,103981000,7421.463,478004000,2779.6,594961000
30,2/25/18,20,36,5,0,0,,,,,,,,,,,,,,,,
31,2/24/18,20,0,15,0,0,,,,,,,,,,,,,,,,
32,2/23/18,28,83,18,34,24,71.78,1263000,22.13,8134000,155.52,5624000,53.29,3208000,89.14,2997000,25309.99,110596000,7337.391,516849000,2747.3,669883000
33,2/22/18,36,32,13,0,0,70.56,1751000,21.39,12152000,153.18,5479000,51.36,3675000,85.53,3133000,24962.48,114401000,7210.085,510057000,2703.96,571607000
34,2/21/18,0,0,18,16,23,69.92,1791000,21.17,11649000,153.96,4891000,51.44,2920000,85.67,3273000,24797.78,99078000,7218.228,548409000,2701.33,632362000
35,2/20/18,18,0,22,0,0,69.82,2290000,21.39,12508000,155.16,5881000,52.12,3380000,86.46,2943000,24964.75,149694000,7234.308,443025000,2716.26,538762000
36,2/19/18,27,0,4,0,0,,,,,,,,,,,,,,,,
37,2/18/18,0,55,10,0,0,,,,,,,,,,,,,,,,
38,2/17/18,0,0,10,0,0,,,,,,,,,,,,,,,,
39,2/16/18,37,0,23,34,0,69.79,3441000,21.4,16751000,156.18,6779000,51.42,4588000,84.91,4629000,25219.38,179771000,7239.465,794937000,2732.22,986284000
40,2/15/18,18,16,23,34,24,69.03,2017000,21.45,11839000,156.01,6149000,51.52,6043000,84.54,3792000,25200.37,146600000,7256.43,672829000,2731.2,880613000
41,2/14/18,0,0,27,50,24,69.87,3120000,21.29,20440000,154.76,9868000,51.37,9557000,83.33,3738000,24893.49,231378000,7143.615,579640000,2698.63,766057000
42,2/13/18,18,0,18,17,0,68.3,3299000,20.58,13314000,150.75,8747000,49.63,7359000,82.97,4836000,24640.45,210835000,7013.51,790176000,2662.94,766057000
43,2/12/18,0,0,36,17,0,68.03,5468000,20.41,9163000,151.4,5252000,49.17,6567000,82.34,5205000,24601.27,140879000,6981.964,761179000,2656,766057000
44,2/11/18,0,18,20,0,0,,,,,,,,,,,,,,,,
45,2/10/18,20,37,10,0,0,,,,,,,,,,,,,,,,
46,2/9/18,38,50,32,17,0,67.3,5984000,20.11,13705000,149.51,4073000,47.82,5110000,80.59,3555000,24190.9,140120000,6874.491,539312000,2619.55,623002000
47,2/8/18,54,65,36,17,24,65.62,6051000,19.92,7973000,147.59,4902000,47.44,7756000,80.09,8524000,23860.46,111859000,6777.159,613952000,2581,815231000
48,2/7/18,44,16,18,33,0,66.77,18466000,21.21,7036000,153.85,3517000,49.55,8941000,83.71,4731000,24893.35,110920000,7051.983,506262000,2681.66,600918000
49,2/6/18,27,32,13,49,23,67.23,35704000,21.43,8113000,155.34,3788000,48.68,7319000,84.25,5005000,24912.77,123611000,7115.882,486626000,2695.14,544693000
50,2/5/18,54,0,18,17,23,67.58,775098,21.29,7274000,152.53,3303000,49.65,3618000,81.45,8188000,24345.75,95732000,6967.526,485316000,2648.94,569404000
