Category: Investing,
,
Day,Dell stock: (Worldwide)
3/27/2018,36
3/26/2018,18
3/25/2018,0
3/24/2018,21
3/23/2018,55
3/22/2018,54
3/21/2018,35
3/20/2018,18
3/19/2018,35
3/18/2018,0
3/17/2018,0
3/16/2018,27
3/15/2018,36
3/14/2018,35
3/13/2018,18
3/12/2018,18
3/11/2018,20
3/10/2018,0
3/9/2018,28
3/8/2018,27
3/7/2018,18
3/6/2018,35
3/5/2018,35
3/4/2018,20
3/3/2018,41
3/2/2018,18
3/1/2018,35
2/28/2018,26
2/27/2018,26
2/26/2018,26
2/25/2018,20
2/24/2018,20
2/23/2018,28
2/22/2018,36
2/21/2018,0
2/20/2018,18
2/19/2018,27
2/18/2018,0
2/17/2018,0
2/16/2018,37
2/15/2018,18
2/14/2018,0
2/13/2018,18
2/12/2018,0
2/11/2018,0
2/10/2018,20
2/9/2018,38
2/8/2018,54
2/7/2018,44
2/6/2018,27
2/5/2018,54
2/4/2018,41
2/3/2018,0
2/2/2018,37
2/1/2018,90
1/31/2018,18
1/30/2018,36
1/29/2018,36
1/28/2018,0
1/27/2018,20
1/26/2018,47
1/25/2018,0
1/24/2018,0
1/23/2018,53
1/22/2018,44
1/21/2018,0
1/20/2018,21
1/19/2018,28
1/18/2018,18
1/17/2018,18
1/16/2018,35
1/15/2018,18
1/14/2018,0
1/13/2018,21
1/12/2018,19
1/11/2018,37
1/10/2018,0
1/9/2018,36
1/8/2018,18
1/7/2018,0
1/6/2018,21
1/5/2018,19
1/4/2018,37
1/3/2018,19
1/2/2018,0
1/1/2018,23
12/31/2017,0
12/30/2017,22
12/29/2017,0
12/28/2017,0
12/27/2017,0
12/26/2017,21
12/25/2017,0
12/24/2017,0
12/23/2017,0
12/22/2017,0
12/21/2017,20
12/20/2017,29
12/19/2017,19
12/18/2017,28
12/17/2017,0
12/16/2017,0
12/15/2017,39
12/14/2017,76
12/13/2017,37
12/12/2017,37
12/11/2017,18
12/10/2017,42
12/9/2017,22
12/8/2017,19
12/7/2017,19
12/6/2017,18
12/5/2017,37
12/4/2017,64
12/3/2017,21
12/2/2017,0
12/1/2017,19
11/30/2017,0
11/29/2017,27
11/28/2017,18
11/27/2017,18
11/26/2017,0
11/25/2017,21
11/24/2017,0
11/23/2017,19
11/22/2017,0
11/21/2017,18
11/20/2017,46
11/19/2017,21
11/18/2017,21
11/17/2017,0
11/16/2017,18
11/15/2017,37
11/14/2017,18
11/13/2017,18
11/12/2017,21
11/11/2017,0
11/10/2017,29
11/9/2017,0
11/8/2017,0
11/7/2017,0
11/6/2017,37
11/5/2017,0
11/4/2017,84
11/3/2017,0
11/2/2017,57
11/1/2017,0
10/31/2017,19
10/30/2017,0
10/29/2017,22
10/28/2017,22
10/27/2017,39
10/26/2017,57
10/25/2017,19
10/24/2017,74
10/23/2017,0
10/22/2017,21
10/21/2017,0
10/20/2017,0
10/19/2017,20
10/18/2017,19
10/17/2017,38
10/16/2017,0
10/15/2017,0
10/14/2017,33
10/13/2017,100
10/12/2017,29
10/11/2017,38
10/10/2017,19
10/9/2017,19
10/8/2017,22
10/7/2017,0
10/6/2017,0
10/5/2017,29
10/4/2017,0
10/3/2017,19
10/2/2017,0
10/1/2017,0
9/30/2017,0
9/29/2017,41
9/28/2017,19
9/27/2017,0
9/26/2017,0
9/25/2017,0
9/24/2017,90
9/23/2017,46
9/22/2017,42
9/21/2017,80
9/20/2017,39
9/19/2017,39
9/18/2017,40
9/17/2017,45
9/16/2017,0
9/15/2017,0
9/14/2017,40
9/13/2017,40
9/12/2017,39
9/11/2017,0
9/10/2017,45
9/9/2017,0
9/8/2017,0
9/7/2017,81
9/6/2017,0
9/5/2017,0
9/4/2017,0
9/3/2017,0
9/2/2017,0
9/1/2017,0
8/31/2017,0
8/30/2017,41
