Category: Investing,
,
Day,HP stock: (Worldwide)
3/27/2013,57
3/28/2013,37
3/29/2013,63
3/30/2013,51
3/31/2013,17
4/1/2013,29
4/2/2013,21
4/3/2013,34
4/4/2013,48
4/5/2013,50
4/6/2013,33
4/7/2013,56
4/8/2013,34
4/9/2013,41
4/10/2013,68
4/11/2013,62
4/12/2013,50
4/13/2013,25
4/14/2013,17
4/15/2013,48
4/16/2013,27
4/17/2013,21
4/18/2013,0
4/19/2013,22
4/20/2013,17
4/21/2013,16
4/22/2013,20
4/23/2013,14
4/24/2013,21
4/25/2013,21
4/26/2013,22
4/27/2013,25
4/28/2013,16
4/29/2013,20
4/30/2013,14
5/1/2013,0
5/2/2013,21
5/3/2013,29
5/4/2013,34
5/5/2013,17
5/6/2013,14
5/7/2013,34
5/8/2013,14
5/9/2013,28
5/10/2013,22
5/11/2013,33
5/12/2013,17
5/13/2013,20
5/14/2013,41
5/15/2013,82
5/16/2013,55
5/17/2013,22
5/18/2013,17
5/19/2013,0
5/20/2013,27
5/21/2013,53
5/22/2013,74
5/23/2013,88
5/24/2013,100
5/25/2013,33
5/26/2013,17
5/27/2013,28
5/28/2013,27
5/29/2013,67
5/30/2013,21
5/31/2013,29
6/1/2013,32
6/2/2013,16
6/3/2013,40
6/4/2013,14
6/5/2013,13
6/6/2013,55
6/7/2013,28
6/8/2013,50
6/9/2013,16
6/10/2013,40
6/11/2013,33
6/12/2013,14
6/13/2013,27
6/14/2013,29
6/15/2013,17
6/16/2013,16
6/17/2013,20
6/18/2013,27
6/19/2013,27
6/20/2013,14
6/21/2013,59
6/22/2013,0
6/23/2013,17
6/24/2013,54
6/25/2013,34
6/26/2013,27
6/27/2013,35
6/28/2013,0
6/29/2013,17
6/30/2013,17
7/1/2013,14
7/2/2013,14
7/3/2013,14
7/4/2013,0
7/5/2013,15
7/6/2013,52
7/7/2013,17
7/8/2013,28
7/9/2013,0
7/10/2013,49
7/11/2013,71
7/12/2013,29
7/13/2013,26
7/14/2013,25
7/15/2013,28
7/16/2013,28
7/17/2013,14
7/18/2013,43
7/19/2013,29
7/20/2013,34
7/21/2013,0
7/22/2013,28
7/23/2013,28
7/24/2013,28
7/25/2013,43
7/26/2013,22
7/27/2013,26
7/28/2013,33
7/29/2013,14
7/30/2013,0
7/31/2013,42
8/1/2013,28
8/2/2013,44
8/3/2013,17
8/4/2013,25
8/5/2013,43
8/6/2013,41
8/7/2013,42
8/8/2013,22
8/9/2013,15
8/10/2013,17
8/11/2013,17
8/12/2013,41
8/13/2013,14
8/14/2013,28
8/15/2013,22
8/16/2013,22
8/17/2013,17
8/18/2013,17
8/19/2013,0
8/20/2013,27
8/21/2013,48
8/22/2013,55
8/23/2013,51
8/24/2013,17
8/25/2013,48
8/26/2013,13
8/27/2013,33
8/28/2013,20
8/29/2013,40
8/30/2013,28
8/31/2013,48
9/1/2013,16
9/2/2013,14
9/3/2013,33
9/4/2013,27
9/5/2013,54
9/6/2013,42
9/7/2013,24
9/8/2013,15
9/9/2013,26
9/10/2013,26
9/11/2013,90
9/12/2013,27
9/13/2013,20
9/14/2013,16
9/15/2013,15
9/16/2013,26
9/17/2013,19
9/18/2013,26
9/19/2013,33
9/20/2013,28
9/21/2013,16
9/22/2013,0
9/23/2013,26
9/24/2013,19
9/25/2013,26
9/26/2013,13
9/27/2013,14
9/27/2013,0
9/28/2013,0
9/29/2013,0
9/30/2013,20
10/1/2013,10
10/2/2013,0
10/3/2013,0
10/4/2013,0
10/5/2013,12
10/6/2013,0
10/7/2013,10
10/8/2013,10
10/9/2013,20
10/10/2013,21
10/11/2013,11
10/12/2013,38
10/13/2013,12
10/14/2013,10
10/15/2013,0
10/16/2013,21
10/17/2013,31
10/18/2013,11
10/19/2013,0
10/20/2013,0
10/21/2013,20
10/22/2013,20
10/23/2013,50
10/24/2013,10
10/25/2013,21
10/26/2013,24
10/27/2013,12
10/28/2013,20
10/29/2013,20
10/30/2013,20
10/31/2013,21
11/1/2013,11
11/2/2013,12
11/3/2013,12
11/4/2013,20
11/5/2013,10
11/6/2013,10
11/7/2013,10
11/8/2013,21
11/9/2013,0
11/10/2013,23
11/11/2013,10
11/12/2013,10
11/13/2013,10
11/14/2013,31
11/15/2013,21
11/16/2013,12
11/17/2013,12
11/18/2013,10
11/19/2013,10
11/20/2013,10
11/21/2013,0
11/22/2013,0
11/23/2013,0
11/24/2013,23
11/25/2013,20
11/26/2013,49
11/27/2013,100
11/28/2013,21
11/29/2013,0
11/30/2013,0
12/1/2013,11
12/2/2013,19
12/3/2013,19
12/4/2013,30
12/5/2013,20
12/6/2013,10
12/7/2013,24
12/8/2013,23
12/9/2013,20
12/10/2013,10
12/11/2013,10
12/12/2013,0
12/13/2013,10
12/14/2013,0
12/15/2013,0
12/16/2013,30
12/17/2013,41
12/18/2013,10
12/19/2013,42
12/20/2013,22
12/21/2013,12
12/22/2013,0
12/23/2013,0
12/24/2013,24
12/25/2013,14
12/26/2013,23
12/27/2013,0
12/28/2013,12
12/29/2013,24
12/30/2013,11
12/31/2013,12
1/1/2014,26
1/2/2014,10
1/3/2014,31
1/4/2014,0
1/5/2014,11
1/6/2014,50
1/7/2014,10
1/8/2014,10
1/9/2014,10
1/10/2014,10
1/11/2014,0
1/12/2014,11
1/13/2014,19
1/14/2014,0
1/15/2014,19
1/16/2014,0
1/17/2014,30
1/18/2014,23
1/19/2014,22
1/20/2014,10
1/21/2014,29
1/22/2014,57
1/23/2014,10
1/24/2014,29
1/25/2014,0
1/26/2014,0
1/27/2014,0
1/28/2014,28
1/29/2014,28
1/30/2014,29
1/31/2014,30
2/1/2014,11
2/2/2014,11
2/3/2014,28
2/4/2014,9
2/5/2014,19
2/6/2014,26
2/7/2014,22
2/8/2014,11
2/9/2014,22
2/10/2014,9
2/11/2014,28
2/12/2014,0
2/13/2014,0
2/14/2014,10
2/15/2014,22
2/16/2014,0
2/17/2014,9
2/18/2014,19
2/19/2014,19
2/20/2014,58
2/21/2014,59
2/22/2014,0
2/23/2014,22
2/24/2014,28
2/25/2014,18
2/26/2014,9
2/27/2014,38
2/28/2014,10
3/1/2014,22
3/2/2014,22
3/3/2014,19
3/4/2014,39
3/5/2014,19
3/6/2014,0
3/7/2014,20
3/8/2014,0
3/9/2014,11
3/10/2014,9
3/11/2014,9
3/12/2014,9
3/13/2014,19
3/14/2014,20
3/15/2014,0
3/16/2014,0
3/17/2014,9
3/18/2014,0
3/19/2014,19
3/20/2014,10
3/21/2014,29
3/22/2014,22
3/23/2014,0
3/24/2014,18
3/25/2014,9
3/26/2014,19
3/27/2014,19
3/28/2014,64
3/29/2014,18
3/30/2014,0
3/31/2014,15
4/1/2014,30
4/2/2014,30
4/3/2014,46
4/4/2014,48
4/5/2014,36
4/6/2014,53
4/7/2014,44
4/8/2014,45
4/9/2014,15
4/10/2014,77
4/11/2014,32
4/12/2014,55
4/13/2014,18
4/14/2014,46
4/15/2014,30
4/16/2014,63
4/17/2014,0
4/18/2014,35
4/19/2014,0
4/20/2014,19
4/21/2014,49
4/22/2014,30
4/23/2014,30
4/24/2014,77
4/25/2014,32
4/26/2014,0
4/27/2014,0
4/28/2014,45
4/29/2014,30
4/30/2014,46
5/1/2014,84
5/2/2014,0
5/3/2014,0
5/4/2014,18
5/5/2014,0
5/6/2014,61
5/7/2014,15
5/8/2014,15
5/9/2014,16
5/10/2014,54
5/11/2014,0
5/12/2014,0
5/13/2014,60
5/14/2014,15
5/15/2014,30
5/16/2014,47
5/17/2014,0
5/18/2014,0
5/19/2014,15
5/20/2014,0
5/21/2014,50
5/22/2014,33
5/23/2014,70
5/24/2014,41
5/25/2014,20
5/26/2014,34
5/27/2014,65
5/28/2014,33
5/29/2014,51
5/30/2014,35
5/31/2014,0
6/1/2014,20
6/2/2014,17
6/3/2014,83
6/4/2014,17
6/5/2014,17
6/6/2014,36
6/7/2014,21
6/8/2014,21
6/9/2014,51
6/10/2014,17
6/11/2014,33
6/12/2014,51
6/13/2014,18
6/14/2014,41
6/15/2014,0
6/16/2014,17
6/17/2014,83
6/18/2014,51
6/19/2014,69
6/20/2014,90
6/21/2014,21
6/22/2014,0
6/23/2014,51
6/24/2014,67
6/25/2014,34
6/26/2014,17
6/27/2014,54
6/28/2014,0
6/29/2014,0
6/30/2014,35
7/1/2014,17
7/2/2014,0
7/3/2014,71
7/4/2014,0
7/5/2014,42
7/6/2014,21
7/7/2014,34
7/8/2014,34
7/9/2014,0
7/10/2014,17
7/11/2014,18
7/12/2014,0
7/13/2014,0
7/14/2014,17
7/15/2014,17
7/16/2014,35
7/17/2014,17
7/18/2014,18
7/19/2014,21
7/20/2014,0
7/21/2014,0
7/22/2014,51
7/23/2014,52
7/24/2014,17
7/25/2014,18
7/26/2014,0
7/27/2014,0
7/28/2014,0
7/29/2014,35
7/30/2014,17
7/31/2014,86
8/1/2014,36
8/2/2014,0
8/3/2014,21
8/4/2014,17
8/5/2014,68
8/6/2014,34
8/7/2014,0
8/8/2014,0
8/9/2014,42
8/10/2014,0
8/11/2014,34
8/12/2014,100
8/13/2014,34
8/14/2014,0
8/15/2014,0
8/16/2014,0
8/17/2014,0
8/18/2014,17
8/19/2014,51
8/20/2014,17
8/21/2014,84
8/22/2014,70
8/23/2014,0
8/24/2014,0
8/25/2014,82
8/26/2014,81
8/27/2014,50
8/28/2014,17
8/29/2014,17
8/30/2014,0
8/31/2014,39
9/1/2014,33
9/2/2014,0
9/3/2014,32
9/4/2014,0
9/5/2014,51
9/6/2014,0
9/7/2014,0
9/8/2014,48
9/9/2014,0
9/10/2014,0
9/11/2014,32
9/12/2014,51
9/13/2014,19
9/14/2014,0
9/15/2014,32
9/16/2014,64
9/17/2014,48
9/18/2014,32
9/19/2014,17
9/20/2014,19
9/21/2014,19
9/22/2014,16
9/23/2014,80
9/24/2014,48
9/25/2014,32
9/26/2014,0
9/27/2014,0
9/28/2014,0
9/29/2014,4
9/30/2014,0
10/1/2014,8
10/2/2014,4
10/3/2014,4
10/4/2014,5
10/5/2014,5
10/6/2014,100
10/7/2014,37
10/8/2014,21
10/9/2014,13
10/10/2014,17
10/11/2014,0
10/12/2014,0
10/13/2014,12
10/14/2014,8
10/15/2014,12
10/16/2014,12
10/17/2014,30
10/18/2014,5
10/19/2014,10
10/20/2014,4
10/21/2014,12
10/22/2014,4
10/23/2014,12
10/24/2014,4
10/25/2014,0
10/26/2014,5
10/27/2014,12
10/28/2014,8
10/29/2014,25
10/30/2014,8
10/31/2014,4
11/1/2014,10
11/2/2014,14
11/3/2014,12
11/4/2014,16
11/5/2014,8
11/6/2014,0
11/7/2014,8
11/8/2014,0
11/9/2014,14
11/10/2014,8
11/11/2014,8
11/12/2014,8
11/13/2014,4
11/14/2014,17
11/15/2014,0
11/16/2014,5
11/17/2014,20
11/18/2014,17
11/19/2014,4
11/20/2014,8
11/21/2014,4
11/22/2014,14
11/23/2014,0
11/24/2014,8
11/25/2014,16
11/26/2014,12
11/27/2014,17
11/28/2014,4
11/29/2014,5
11/30/2014,9
12/1/2014,23
12/2/2014,16
12/3/2014,8
12/4/2014,8
12/5/2014,17
12/6/2014,0
12/7/2014,14
12/8/2014,8
12/9/2014,32
12/10/2014,4
12/11/2014,12
12/12/2014,4
12/13/2014,10
12/14/2014,9
12/15/2014,8
12/16/2014,24
12/17/2014,0
12/18/2014,25
12/19/2014,18
12/20/2014,0
12/21/2014,15
12/22/2014,17
12/23/2014,9
12/24/2014,15
12/25/2014,5
12/26/2014,0
12/27/2014,0
12/28/2014,0
12/29/2014,9
12/30/2014,13
12/31/2014,10
1/1/2015,0
1/2/2015,18
1/3/2015,5
1/4/2015,5
1/5/2015,4
1/6/2015,0
1/7/2015,12
1/8/2015,12
1/9/2015,8
1/10/2015,0
1/11/2015,9
1/12/2015,0
1/13/2015,39
1/14/2015,8
1/15/2015,0
1/16/2015,24
1/17/2015,5
1/18/2015,0
1/19/2015,0
1/20/2015,23
1/21/2015,0
1/22/2015,0
1/23/2015,24
1/24/2015,0
1/25/2015,4
1/26/2015,8
1/27/2015,8
1/28/2015,4
1/29/2015,8
1/30/2015,12
1/31/2015,9
2/1/2015,4
2/2/2015,11
2/3/2015,19
2/4/2015,26
2/5/2015,27
2/6/2015,4
2/7/2015,9
2/8/2015,13
2/9/2015,11
2/10/2015,11
2/11/2015,4
2/12/2015,4
2/13/2015,8
2/14/2015,14
2/15/2015,0
2/16/2015,8
2/17/2015,8
2/18/2015,0
2/19/2015,4
2/20/2015,0
2/21/2015,0
2/22/2015,13
2/23/2015,15
2/24/2015,19
2/25/2015,46
2/26/2015,38
2/27/2015,23
2/28/2015,9
3/1/2015,0
3/2/2015,26
3/3/2015,23
3/4/2015,22
3/5/2015,15
3/6/2015,8
3/7/2015,0
3/8/2015,0
3/9/2015,4
3/10/2015,7
3/11/2015,15
3/12/2015,15
3/13/2015,16
3/14/2015,18
3/15/2015,0
3/16/2015,7
3/17/2015,7
3/18/2015,4
3/19/2015,0
3/20/2015,8
3/21/2015,9
3/22/2015,9
3/23/2015,4
3/24/2015,4
3/25/2015,6
3/26/2015,9
3/27/2015,8
3/28/2015,16
3/29/2015,47
3/30/2015,38
3/31/2015,77
4/1/2015,26
4/2/2015,40
4/3/2015,0
4/4/2015,0
4/5/2015,0
4/6/2015,27
4/7/2015,25
4/8/2015,0
4/9/2015,26
4/10/2015,14
4/11/2015,15
4/12/2015,15
4/13/2015,50
4/14/2015,13
4/15/2015,26
4/16/2015,51
4/17/2015,13
4/18/2015,15
4/19/2015,0
4/20/2015,25
4/21/2015,76
4/22/2015,26
4/23/2015,13
4/24/2015,40
4/25/2015,0
4/26/2015,30
4/27/2015,0
4/28/2015,25
4/29/2015,13
4/30/2015,66
5/1/2015,29
5/2/2015,15
5/3/2015,15
5/4/2015,38
5/5/2015,25
5/6/2015,0
5/7/2015,64
5/8/2015,13
5/9/2015,46
5/10/2015,0
5/11/2015,38
5/12/2015,13
5/13/2015,38
5/14/2015,52
5/15/2015,27
5/16/2015,15
5/17/2015,0
5/18/2015,38
5/19/2015,13
5/20/2015,25
5/21/2015,13
5/22/2015,93
5/23/2015,31
5/24/2015,46
5/25/2015,39
5/26/2015,25
5/27/2015,37
5/28/2015,13
5/29/2015,27
5/30/2015,15
5/31/2015,0
6/1/2015,25
6/2/2015,50
6/3/2015,25
6/4/2015,13
6/5/2015,40
6/6/2015,31
6/7/2015,0
6/8/2015,25
6/9/2015,12
6/10/2015,25
6/11/2015,0
6/12/2015,40
6/13/2015,30
6/14/2015,15
6/15/2015,25
6/16/2015,25
6/17/2015,0
6/18/2015,13
6/19/2015,40
6/20/2015,15
6/21/2015,15
6/22/2015,25
6/23/2015,13
6/24/2015,64
6/25/2015,26
6/26/2015,13
6/27/2015,61
6/28/2015,0
6/29/2015,26
6/30/2015,25
7/1/2015,39
7/2/2015,26
7/3/2015,41
7/4/2015,16
7/5/2015,16
7/6/2015,0
7/7/2015,25
7/8/2015,50
7/9/2015,52
7/10/2015,13
7/11/2015,15
7/12/2015,0
7/13/2015,25
7/14/2015,13
7/15/2015,0
7/16/2015,13
7/17/2015,27
7/18/2015,32
7/19/2015,33
7/20/2015,27
7/21/2015,13
7/22/2015,13
7/23/2015,0
7/24/2015,26
7/25/2015,15
7/26/2015,0
7/27/2015,13
7/28/2015,25
7/29/2015,25
7/30/2015,26
7/31/2015,13
8/1/2015,15
