Category: Investing,
,
Day,Seagate stock: (Worldwide)
3/27/2018,0
3/26/2018,0
3/25/2018,0
3/24/2018,0
3/23/2018,0
3/22/2018,17
3/21/2018,33
3/20/2018,0
3/19/2018,0
3/18/2018,0
3/17/2018,0
3/16/2018,0
3/15/2018,0
3/14/2018,0
3/13/2018,16
3/12/2018,33
3/11/2018,18
3/10/2018,19
3/9/2018,51
3/8/2018,49
3/7/2018,49
3/6/2018,16
3/5/2018,16
3/4/2018,0
3/3/2018,0
3/2/2018,0
3/1/2018,0
2/28/2018,16
2/27/2018,32
2/26/2018,0
2/25/2018,0
2/24/2018,0
2/23/2018,34
2/22/2018,0
2/21/2018,16
2/20/2018,0
2/19/2018,0
2/18/2018,0
2/17/2018,0
2/16/2018,34
2/15/2018,34
2/14/2018,50
2/13/2018,17
2/12/2018,17
2/11/2018,0
2/10/2018,0
2/9/2018,17
2/8/2018,17
2/7/2018,33
2/6/2018,49
2/5/2018,17
2/4/2018,0
2/3/2018,19
2/2/2018,51
2/1/2018,33
1/31/2018,0
1/30/2018,16
1/29/2018,16
1/28/2018,0
1/27/2018,0
1/26/2018,17
1/25/2018,17
1/24/2018,49
1/23/2018,16
1/22/2018,0
1/21/2018,0
1/20/2018,0
1/19/2018,34
1/18/2018,67
1/17/2018,49
1/16/2018,0
1/15/2018,17
1/14/2018,0
1/13/2018,19
1/12/2018,35
1/11/2018,68
1/10/2018,34
1/9/2018,100
1/8/2018,99
1/7/2018,0
1/6/2018,0
1/5/2018,0
1/4/2018,34
1/3/2018,0
1/2/2018,35
1/1/2018,0
12/31/2017,21
12/30/2017,0
12/29/2017,19
12/28/2017,18
12/27/2017,0
12/26/2017,0
12/25/2017,0
12/24/2017,0
12/23/2017,0
12/22/2017,0
12/21/2017,18
12/20/2017,0
12/19/2017,53
12/18/2017,0
12/17/2017,20
12/16/2017,0
12/15/2017,18
12/14/2017,35
12/13/2017,0
12/12/2017,17
12/11/2017,0
12/10/2017,0
12/9/2017,0
12/8/2017,0
12/7/2017,34
12/6/2017,17
12/5/2017,0
12/4/2017,0
12/3/2017,0
12/2/2017,0
12/1/2017,35
11/30/2017,0
11/29/2017,17
11/28/2017,17
11/27/2017,0
11/26/2017,0
11/25/2017,0
11/24/2017,18
11/23/2017,0
11/22/2017,0
11/21/2017,34
11/20/2017,34
11/19/2017,19
11/18/2017,0
11/17/2017,0
11/16/2017,0
11/15/2017,17
11/14/2017,17
11/13/2017,17
11/12/2017,0
11/11/2017,0
11/10/2017,0
11/9/2017,17
11/8/2017,17
11/7/2017,0
11/6/2017,17
11/5/2017,19
11/4/2017,0
11/3/2017,0
11/2/2017,35
11/1/2017,18
10/31/2017,35
10/30/2017,0
10/29/2017,0
10/28/2017,20
10/27/2017,18
10/26/2017,18
10/25/2017,34
10/24/2017,86
10/23/2017,51
10/22/2017,0
10/21/2017,0
10/20/2017,18
10/19/2017,0
10/18/2017,0
10/17/2017,0
10/16/2017,0
10/15/2017,0
10/14/2017,20
10/13/2017,18
10/12/2017,36
10/11/2017,18
10/10/2017,17
10/9/2017,0
10/8/2017,0
10/7/2017,0
10/6/2017,18
10/5/2017,0
10/4/2017,0
10/3/2017,18
10/2/2017,17
10/1/2017,0
9/30/2017,0
9/29/2017,19
9/28/2017,0
9/27/2017,29
9/26/2017,0
9/25/2017,15
9/24/2017,0
9/23/2017,17
9/22/2017,15
9/21/2017,22
9/20/2017,15
9/19/2017,15
9/18/2017,30
9/17/2017,0
9/16/2017,17
9/15/2017,15
9/14/2017,15
9/13/2017,15
9/12/2017,22
9/11/2017,0
9/10/2017,0
9/9/2017,0
9/8/2017,31
9/7/2017,30
9/6/2017,22
9/5/2017,15
9/4/2017,0
9/3/2017,0
9/2/2017,0
9/1/2017,16
8/31/2017,15
8/30/2017,30
8/29/2017,0
8/28/2017,0
8/27/2017,0
8/26/2017,0
8/25/2017,16
8/24/2017,0
8/23/2017,15
8/22/2017,30
8/21/2017,15
8/20/2017,0
8/19/2017,35
8/18/2017,16
8/17/2017,15
8/16/2017,30
8/15/2017,0
8/14/2017,0
8/13/2017,0
