Category: Investing,
,
Day,IBM stock: (Worldwide)
3/25/2018,0
3/24/2018,5
3/23/2018,5
3/22/2018,9
3/21/2018,9
3/20/2018,9
3/19/2018,31
3/18/2018,10
3/17/2018,10
3/16/2018,0
3/15/2018,31
3/14/2018,17
3/13/2018,4
3/12/2018,9
3/11/2018,0
3/10/2018,0
3/9/2018,9
3/8/2018,4
3/7/2018,13
3/6/2018,4
3/5/2018,35
3/4/2018,15
3/3/2018,5
3/2/2018,23
3/1/2018,4
2/28/2018,9
2/27/2018,9
2/26/2018,17
2/25/2018,5
2/24/2018,15
2/23/2018,18
2/22/2018,13
2/21/2018,18
2/20/2018,22
2/19/2018,4
2/18/2018,10
2/17/2018,10
2/16/2018,23
2/15/2018,23
2/14/2018,27
2/13/2018,18
2/12/2018,36
2/11/2018,20
2/10/2018,10
2/9/2018,32
2/8/2018,36
2/7/2018,18
2/6/2018,13
2/5/2018,18
2/4/2018,10
2/3/2018,5
2/2/2018,5
2/1/2018,23
1/31/2018,18
1/30/2018,26
1/29/2018,27
1/28/2018,5
1/27/2018,10
1/26/2018,9
1/25/2018,27
1/24/2018,31
1/23/2018,22
1/22/2018,31
1/21/2018,10
1/20/2018,20
1/19/2018,37
1/18/2018,23
1/17/2018,53
1/16/2018,18
1/15/2018,9
1/14/2018,10
1/13/2018,21
1/12/2018,33
1/11/2018,27
1/10/2018,18
1/9/2018,9
1/8/2018,18
1/7/2018,5
1/6/2018,5
1/5/2018,5
1/4/2018,32
1/3/2018,18
1/2/2018,28
1/1/2018,0
12/31/2017,0
12/30/2017,22
12/29/2017,15
12/28/2017,0
12/27/2017,25
12/26/2017,10
12/25/2017,6
12/24/2017,6
12/23/2017,11
12/22/2017,10
12/21/2017,0
12/20/2017,24
12/19/2017,24
12/18/2017,9
12/17/2017,5
12/16/2017,27
12/15/2017,5
12/14/2017,23
12/13/2017,18
12/12/2017,9
12/11/2017,0
12/10/2017,5
12/9/2017,11
12/8/2017,5
12/7/2017,19
12/6/2017,0
12/5/2017,32
12/4/2017,4
12/3/2017,5
12/2/2017,11
12/1/2017,24
11/30/2017,14
11/29/2017,14
11/28/2017,5
11/27/2017,9
11/26/2017,0
11/25/2017,5
11/24/2017,5
11/23/2017,0
11/22/2017,0
11/21/2017,23
11/20/2017,9
11/19/2017,15
11/18/2017,5
11/17/2017,29
11/16/2017,14
11/15/2017,9
11/14/2017,9
11/13/2017,14
11/12/2017,16
11/11/2017,11
11/10/2017,14
11/9/2017,9
11/8/2017,23
11/7/2017,5
11/6/2017,14
11/5/2017,5
11/4/2017,21
11/3/2017,10
11/2/2017,5
11/1/2017,0
10/31/2017,5
10/30/2017,19
10/29/2017,11
10/28/2017,5
10/27/2017,10
10/26/2017,24
10/25/2017,9
10/24/2017,5
10/23/2017,14
10/22/2017,11
10/21/2017,11
10/20/2017,20
10/19/2017,15
10/18/2017,100
10/17/2017,19
10/16/2017,5
10/15/2017,5
10/14/2017,0
10/13/2017,10
10/12/2017,5
10/11/2017,28
10/10/2017,14
10/9/2017,19
10/8/2017,5
10/7/2017,0
10/6/2017,0
10/5/2017,5
10/4/2017,9
10/3/2017,5
10/2/2017,0
10/1/2017,5
9/30/2017,0
9/29/2017,10
9/28/2017,14
9/27/2017,19
9/26/2017,15
9/25/2017,24
9/24/2017,9
9/23/2017,18
9/22/2017,25
9/21/2017,16
9/20/2017,24
9/19/2017,31
9/18/2017,8
9/17/2017,9
9/16/2017,9
9/15/2017,8
9/14/2017,8
9/13/2017,23
9/12/2017,46
9/11/2017,15
9/10/2017,9
9/9/2017,9
9/8/2017,24
9/7/2017,40
9/6/2017,23
9/5/2017,8
9/4/2017,16
9/3/2017,9
9/2/2017,9
9/1/2017,8
8/31/2017,16
8/30/2017,24
8/29/2017,16
8/28/2017,24
8/27/2017,0
8/26/2017,0
8/25/2017,8
8/24/2017,16
8/23/2017,16
8/22/2017,16
8/21/2017,31
8/20/2017,0
8/19/2017,9
8/18/2017,0
8/17/2017,16
8/16/2017,0
8/15/2017,33
8/14/2017,16
8/13/2017,9
8/12/2017,19
8/11/2017,17
8/10/2017,8
8/9/2017,24
8/8/2017,31
8/7/2017,24
8/6/2017,0
8/5/2017,38
8/4/2017,17
8/3/2017,16
8/2/2017,23
8/1/2017,24
7/31/2017,8
7/30/2017,0
7/29/2017,0
7/28/2017,0
7/27/2017,16
7/26/2017,16
7/25/2017,0
7/24/2017,16
7/23/2017,10
7/22/2017,0
7/21/2017,17
7/20/2017,33
7/19/2017,93
7/18/2017,58
7/17/2017,25
7/16/2017,0
7/15/2017,20
7/14/2017,17
7/13/2017,17
7/12/2017,0
7/11/2017,17
7/10/2017,8
7/9/2017,0
7/8/2017,10
7/7/2017,0
7/6/2017,34
7/5/2017,25
7/4/2017,9
7/3/2017,26
7/2/2017,0
7/1/2017,10
6/30/2017,9
6/29/2017,0
6/28/2017,17
6/27/2017,25
6/26/2017,42
6/25/2017,10
6/24/2017,19
6/23/2017,0
6/22/2017,16
6/21/2017,23
6/20/2017,31
6/19/2017,16
6/18/2017,0
6/17/2017,10
6/16/2017,25
6/15/2017,17
6/14/2017,8
6/13/2017,16
6/12/2017,24
6/11/2017,10
6/10/2017,0
6/9/2017,8
6/8/2017,8
6/7/2017,32
6/6/2017,8
6/5/2017,16
6/4/2017,9
6/3/2017,38
6/2/2017,26
6/1/2017,25
5/31/2017,8
5/30/2017,8
5/29/2017,0
5/28/2017,0
5/27/2017,10
5/26/2017,9
5/25/2017,8
5/24/2017,16
5/23/2017,24
5/22/2017,8
5/21/2017,0
5/20/2017,10
5/19/2017,0
5/18/2017,41
5/17/2017,33
5/16/2017,33
5/15/2017,40
5/14/2017,27
5/13/2017,0
5/12/2017,8
5/11/2017,23
5/10/2017,15
5/9/2017,15
5/8/2017,46
5/7/2017,9
5/6/2017,18
5/5/2017,56
5/4/2017,23
5/3/2017,23
5/2/2017,8
5/1/2017,17
4/30/2017,18
4/29/2017,0
4/28/2017,40
4/27/2017,15
4/26/2017,45
4/25/2017,8
4/24/2017,23
4/23/2017,9
4/22/2017,17
4/21/2017,56
4/20/2017,100
4/19/2017,69
4/18/2017,38
4/17/2017,24
4/16/2017,9
4/15/2017,0
4/14/2017,0
4/13/2017,16
4/12/2017,24
4/11/2017,39
4/10/2017,0
4/9/2017,18
4/8/2017,9
4/7/2017,8
4/6/2017,8
4/5/2017,38
4/4/2017,8
4/3/2017,54
4/2/2017,9
4/1/2017,9
3/31/2017,8
3/30/2017,23
3/29/2017,8
3/28/2017,0
3/27/2017,85
3/26/2017,16
3/25/2017,17
