Day	Date	Last Price	Volume	SMAVG(15)
				
Mo	3/19/18	24610.91	115.809M	124.743M
				
Fr	3/16/18	24946.51	349.359M	125.249M
Th	3/15/18	24873.66	90.799M	108.051M
We	3/14/18	24758.12	102.685M	108.424M
Tu	3/13/18	25007.03	110.557M	109.874M
Mo	3/12/18	25178.61	99.534M	109.435M
				
Fr	3/9/18	25335.74	102.188M	111.268M
Th	3/8/18	24895.21	88.859M	111.829M
We	3/7/18	24801.36	102.303M	113.532M
Tu	3/6/18	24884.12	93.405M	113.317M
Mo	3/5/18	24874.76	105.005M	117.069M
				
Fr	3/2/18	24538.06	120.19M	123.32M
Th	3/1/18	24608.98	135.696M	127.292M
We	2/28/18	25029.2	135.542M	128.019M
Tu	2/27/18	25410.03	119.21M	134.408M
Mo	2/26/18	25709.27	123.398M	140.516M
				
Fr	2/23/18	25309.99	91.4M	141.681M
Th	2/22/18	24962.48	96.387M	143.027M
We	2/21/18	24797.78	124.435M	145.943M
Tu	2/20/18	24964.75	103.981M	145.104M
				
Fr	2/16/18	25219.38	127.027M	145.567M
Th	2/15/18	25200.37	110.596M	145.339M
We	2/14/18	24893.49	114.401M	144.348M
Tu	2/13/18	24640.45	99.078M	144.94M
Mo	2/12/18	24601.27	149.694M	145.619M
				
Fr	2/9/18	24190.9	198.761M	144.064M
Th	2/8/18	23860.46	179.771M	142.249M
We	2/7/18	24893.35	146.6M	138.429M
Tu	2/6/18	24912.77	231.378M	137.569M
Mo	2/5/18	24345.75	210.835M	133.549M
				
Fr	2/2/18	25520.96	140.879M	126.419M
Th	2/1/18	26186.71	111.586M	123.051M
We	1/31/18	26149.39	140.12M	121.504M
Tu	1/30/18	26076.89	111.859M	118.064M
Mo	1/29/18	26439.48	110.92M	117.114M
				
Fr	1/26/18	26616.71	123.611M	116.331M
Th	1/25/18	26392.79	95.732M	114.856M
We	1/24/18	26252.12	123.271M	116.022M
Tu	1/23/18	26210.81	109.272M	114.062M
Mo	1/22/18	26214.6	126.358M	113.411M
				
Fr	1/19/18	26071.72	171.541M	108.384M
Th	1/18/18	26017.81	122.471M	100.981M
We	1/17/18	26115.65	133.7M	96.815M
Tu	1/16/18	25792.86	171.084M	93.142M
				
Fr	1/12/18	25803.19	103.879M	88.495M
Th	1/11/18	25574.73	90.362M	88.178M
We	1/10/18	25369.13	88.373M	88.785M
Tu	1/9/18	25385.8	88.522M	90.058M
Mo	1/8/18	25283	97.612M	105.309M
				
Fr	1/5/18	25295.87	99.172M	104.453M
Th	1/4/18	25075.13	101.492M	104.094M
We	1/3/18	24922.68	113.226M	104.136M
Tu	1/2/18	24824.01	93.866M	102.239M
				
Fr	12/29/17	24719.22	99.507M	101.413M
Th	12/28/17	24837.51	50.954M	100.477M
We	12/27/17	24774.3	60.502M	103.376M
Tu	12/26/17	24746.21	59.978M	106.759M
				
Fr	12/22/17	24754.06	78.61M	110.562M
Th	12/21/17	24782.29	101.366M	113.547M
We	12/20/17	24726.65	99.129M	118.106M
Tu	12/19/17	24754.75	99.475M	118.508M
Mo	12/18/17	24792.2	107.462M	117.732M
				
Fr	12/15/17	24651.74	317.293M	116.235M
Th	12/14/17	24508.66	84.758M	97.532M
We	12/13/17	24585.43	93.787M	96.619M
Tu	12/12/17	24504.8	102.134M	96.533M
Mo	12/11/17	24386.03	84.768M	95.058M
				
Fr	12/8/17	24329.16	81.472M	96.487M
Th	12/7/17	24211.48	85.468M	97.304M
We	12/6/17	24140.91	94.435M	98.135M
Tu	12/5/17	24180.64	111.255M	100.057M
Mo	12/4/17	24290.05	117.014M	99.908M
				
Fr	12/1/17	24231.59	123.385M	98M
Th	11/30/17	24272.35	169.752M	95.087M
We	11/29/17	23940.68	105.16M	88.623M
Tu	11/28/17	23836.71	87.842M	86.742M
Mo	11/27/17	23580.78	85.006M	86.744M
				
Fr	11/24/17	23557.99	36.736M	86.317M
We	11/22/17	23526.18	71.067M	89.688M
Tu	11/21/17	23590.83	92.497M	90.97M
Mo	11/20/17	23430.33	80.005M	92.191M
				
Fr	11/17/17	23358.24	106.205M	94.029M
Th	11/16/17	23458.36	93.734M	95.466M
We	11/15/17	23271.28	97.936M	95.166M
Tu	11/14/17	23409.47	123.26M	95.477M
Mo	11/13/17	23439.7	109.022M	93.14M
				
Fr	11/10/17	23422.21	88.393M	93.17M
Th	11/9/17	23461.94	79.692M	95.826M
We	11/8/17	23563.36	72.798M	96.262M
Tu	11/7/17	23557.23	76.941M	95.734M
Mo	11/6/17	23548.42	87.868M	95.001M
				
Fr	11/3/17	23539.19	78.599M	93.472M
Th	11/2/17	23516.26	87.302M	93.211M
We	11/1/17	23435.01	90.304M	92.475M
Tu	10/31/17	23377.24	110.803M	92.235M
Mo	10/30/17	23348.74	107.582M	90.071M
				
Fr	10/27/17	23434.19	127.75M	87.894M
Th	10/26/17	23400.86	89.232M	83.617M
We	10/25/17	23329.46	102.613M	82.129M
Tu	10/24/17	23441.76	88.199M	79.692M
Mo	10/23/17	23273.96	109.474M	77.878M
				
Fr	10/20/17	23328.63	128.229M	75.516M
Th	10/19/17	23163.04	86.238M	72.835M
We	10/18/17	23157.6	64.881M	72.13M
Tu	10/17/17	22997.44	65.936M	74.006M
Mo	10/16/17	22956.96	64.94M	74.944M
				
Fr	10/13/17	22871.72	74.683M	77.455M
Th	10/12/17	22841.01	76.256M	78.115M
We	10/11/17	22872.89	86.708M	78.383M
Tu	10/10/17	22830.68	78.345M	78.844M
Mo	10/9/17	22761.07	74.919M	79.018M
				
Fr	10/6/17	22773.67	63.604M	79.445M
Th	10/5/17	22775.39	66.913M	93.63M
We	10/4/17	22661.64	66.05M	94.78M
Tu	10/3/17	22641.67	60.991M	95.595M
Mo	10/2/17	22557.6	74.05M	97.935M
				
Fr	9/29/17	22405.09	88.017M	99.031M
Th	9/28/17	22381.2	75.655M	98.319M
We	9/27/17	22340.71	93.017M	98.939M
Tu	9/26/17	22284.32	80.018M	98.731M
Mo	9/25/17	22296.09	102.605M	99.431M
				
Fr	9/22/17	22349.59	84.574M	97.328M
Th	9/21/17	22359.23	80.282M	100.467M
We	9/20/17	22412.59	93.616M	99.982M
Tu	9/19/17	22370.8	80.955M	98.048M
Mo	9/18/17	22331.35	81.321M	97.264M
				
Fr	9/15/17	22268.34	276.389M	96.105M
Th	9/14/17	22203.48	84.162M	82.194M
We	9/13/17	22158.18	78.271M	81.175M
Tu	9/12/17	22118.86	96.089M	80.727M
Mo	9/11/17	22057.37	90.501M	80.021M
				
Fr	9/8/17	21797.79	77.328M	80.897M
Th	9/7/17	21784.78	84.965M	82.141M
We	9/6/17	21807.64	89.897M	81.623M
Tu	9/5/17	21753.31	90.508M	80.137M
				
Fr	9/1/17	21987.56	71.061M	78.829M
Th	8/31/17	21948.1	131.658M	78.749M
We	8/30/17	21892.43	73.015M	75.652M
