Day,Date,Last Price,Volume,SMAVG(15)
,,,,
Mo,3/19/18,23.2,9.93M,12.348M
,,,,
Fr,3/16/18,23.51,20.053M,13.112M
Th,3/15/18,23.48,10.32M,13.262M
We,3/14/18,23.48,9.305M,13.289M
Tu,3/13/18,23.62,16.956M,13.17M
Mo,3/12/18,23.83,19.627M,12.579M
,,,,
Fr,3/9/18,24.65,12.893M,11.676M
Th,3/8/18,23.95,7.113M,11.359M
We,3/7/18,24.04,8.421M,11.695M
Tu,3/6/18,23.95,9.878M,11.91M
Mo,3/5/18,23.69,10.034M,12.085M
,,,,
Fr,3/2/18,23.57,10.113M,12.297M
Th,3/1/18,23.35,12.042M,12.74M
We,2/28/18,23.39,13.426M,12.726M
Tu,2/27/18,23.52,15.106M,13.194M
Mo,2/26/18,23.46,21.394M,13.074M
,,,,
Fr,2/23/18,22.13,22.297M,12.259M
Th,2/22/18,21.39,10.726M,11.26M
We,2/21/18,21.17,7.528M,11.459M
Tu,2/20/18,21.39,8.085M,11.489M
,,,,
Fr,2/16/18,21.4,6.082M,11.419M
Th,2/15/18,21.45,8.134M,11.554M
We,2/14/18,21.29,12.152M,11.497M
Tu,2/13/18,20.58,11.649M,11.139M
Mo,2/12/18,20.41,12.508M,10.885M
,,,,
Fr,2/9/18,20.11,13.216M,10.661M
Th,2/8/18,19.92,16.751M,10.55M
We,2/7/18,21.21,11.839M,10.252M
Tu,2/6/18,21.43,20.44M,10.206M
Mo,2/5/18,21.29,13.314M,9.464M
,,,,
Fr,2/2/18,22.48,9.163M,9.165M
Th,2/1/18,23.3,7.318M,9.111M
We,1/31/18,23.32,13.705M,9.186M
Tu,1/30/18,23.44,7.973M,8.796M
Mo,1/29/18,23.81,7.036M,8.649M
,,,,
Fr,1/26/18,23.91,8.113M,8.63M
Th,1/25/18,23.32,7.274M,8.6M
We,1/24/18,23.66,6.781M,8.512M
Tu,1/23/18,23.81,7.84M,8.49M
Mo,1/22/18,23.85,9.151M,8.314M
,,,,
Fr,1/19/18,23.7,11.551M,8.052M
Th,1/18/18,23.29,12.277M,7.789M
We,1/17/18,23.46,11.151M,7.171M
Tu,1/16/18,22.88,9.312M,6.701M
,,,,
Fr,1/12/18,22.92,8.822M,6.663M
Th,1/11/18,22.41,8.356M,6.565M
We,1/10/18,22.05,8.443M,6.66M
Tu,1/9/18,21.81,7.859M,6.907M
Mo,1/8/18,21.84,5.77M,7.651M
,,,,
Fr,1/5/18,21.75,6.751M,7.811M
Th,1/4/18,21.53,7.654M,7.971M
We,1/3/18,21.37,5.958M,7.939M
Tu,1/2/18,21.32,6.457M,8.057M
,,,,
Fr,12/29/17,21.01,5.204M,8.548M
Th,12/28/17,21.15,5.214M,8.765M
We,12/27/17,21.27,7.605M,9.086M
Tu,12/26/17,21.23,3.015M,9.193M
,,,,
Fr,12/22/17,21.26,4.1M,9.857M
Th,12/21/17,21.25,8.742M,10.244M
We,12/20/17,21.46,7.347M,10.59M
Tu,12/19/17,21.42,9.773M,10.907M
Mo,12/18/17,21.29,12.156M,10.948M
,,,,
Fr,12/15/17,20.92,19.023M,11.161M
Th,12/14/17,20.74,8.161M,10.536M
We,12/13/17,20.85,9.157M,11.887M
Tu,12/12/17,20.98,7.175M,12.447M
