Day,Date,Last Price,Volume,SMAVG(15)
Mo,3/19/18,103.16,4.434M,4.553M
,,,,
Fr,3/16/18,106.45,7.29M,4.441M
Th,3/15/18,102.23,2.696M,4.239M
We,3/14/18,103.2,3.976M,4.21M
Tu,3/13/18,102.91,6.893M,4.118M
Mo,3/12/18,102.86,5.762M,3.909M
,,,,
Fr,3/9/18,99.55,4.541M,3.725M
Th,3/8/18,97.22,4.116M,3.631M
We,3/7/18,95.27,6.005M,3.575M
Tu,3/6/18,93.8,6.594M,3.371M
Mo,3/5/18,89.95,3.411M,3.151M
,,,,
Fr,3/2/18,88.25,2.505M,3.232M
Th,3/1/18,87.27,3.554M,3.318M
We,2/28/18,87.04,3.101M,3.33M
Tu,2/27/18,87.19,3.411M,3.446M
Mo,2/26/18,89.22,2.757M,3.565M
,,,,
Fr,2/23/18,89.14,4.26M,3.715M
Th,2/22/18,85.53,2.271M,3.668M
We,2/21/18,85.67,2.586M,4.085M
Tu,2/20/18,86.46,3.762M,4.228M
,,,,
Fr,2/16/18,84.91,2.997M,4.311M
Th,2/15/18,84.54,3.133M,4.657M
We,2/14/18,83.33,3.273M,4.934M
Tu,2/13/18,82.97,2.943M,5.029M
Mo,2/12/18,82.34,3.297M,5.038M
,,,,
Fr,2/9/18,80.59,4.629M,5.121M
Th,2/8/18,80.09,3.792M,5.075M
We,2/7/18,83.71,3.738M,5.129M
Tu,2/6/18,84.25,4.836M,5.173M
Mo,2/5/18,81.45,5.205M,5.222M
,,,,
Fr,2/2/18,85.25,5.01M,5.074M
Th,2/1/18,87.65,3.555M,4.995M
We,1/31/18,88.98,8.524M,5.088M
Tu,1/30/18,87.08,4.731M,4.773M
Mo,1/29/18,87.45,5.005M,4.783M
,,,,
Fr,1/26/18,89.6,8.188M,4.631M
Th,1/25/18,87.99,7.284M,4.43M
We,1/24/18,86.97,4.697M,4.161M
Tu,1/23/18,87.34,3.081M,4.108M
Mo,1/22/18,86.24,4.534M,4.088M
,,,,
Fr,1/19/18,85.6,3.939M,3.94M
Th,1/18/18,86.4,4.604M,3.853M
We,1/17/18,85.16,4.398M,3.806M
Tu,1/16/18,83.88,5.574M,3.654M
,,,,
Fr,1/12/18,83.12,2.991M,3.611M
Th,1/11/18,82.25,3.822M,3.728M
We,1/10/18,80.91,4.941M,3.736M
Tu,1/9/18,80.62,3.811M,3.665M
Mo,1/8/18,81.44,4.875M,3.888M
,,,,
Fr,1/5/18,82.69,2.727M,3.779M
Th,1/4/18,82.17,5.173M,4.026M
We,1/3/18,82.67,3.253M,3.854M
Tu,1/2/18,81.38,3.894M,3.805M
,,,,
Fr,12/29/17,79.53,2.79M,3.883M
Th,12/28/17,80.64,2.303M,3.875M
We,12/27/17,80.96,2.633M,3.956M
Tu,12/26/17,80,3.904M,4.087M
,,,,
Fr,12/22/17,80.68,2.125M,4.207M
Th,12/21/17,80.83,4.922M,4.496M
We,12/20/17,82.77,4.747M,4.646M
Tu,12/19/17,84.24,3.938M,4.806M
Mo,12/18/17,83.62,3.88M,4.84M
,,,,
Fr,12/15/17,81.62,7.161M,5.319M
Th,12/14/17,82.64,3.24M,4.904M
We,12/13/17,83.63,6.421M,4.837M
Tu,12/12/17,81.77,2.604M,4.614M
Mo,12/11/17,81.2,2.511M,4.618M
,,,,
Fr,12/8/17,81.47,5.06M,4.557M
Th,12/7/17,78.35,2.672M,4.377M
We,12/6/17,77.86,3.518M,4.437M
Tu,12/5/17,78.56,4.598M,4.552M
Mo,12/4/17,77.11,5.711M,4.388M
,,,,
Fr,12/1/17,79.36,6.456M,4.223M
Th,11/30/17,78.86,7.171M,3.982M
We,11/29/17,81,7.152M,3.689M
Tu,11/28/17,86.89,4.445M,3.455M
Mo,11/27/17,86.55,11.066M,3.364M
,,,,
Fr,11/24/17,92.78,937.142k,2.822M
We,11/22/17,92.91,2.234M,2.934M
Tu,11/21/17,92.35,3.077M,3.037M
Mo,11/20/17,90.88,2.666M,3.209M
,,,,
Fr,11/17/17,91.3,1.595M,3.374M
Th,11/16/17,91.21,2.349M,3.787M
We,11/15/17,90.36,3.573M,3.918M
Tu,11/14/17,91.58,5.247M,3.867M
Mo,11/13/17,88.44,2.145M,3.69M
,,,,
Fr,11/10/17,88.92,3.226M,3.867M
Th,11/9/17,87.63,2.845M,3.836M
We,11/8/17,87.12,2.778M,3.786M
Tu,11/7/17,86.09,3.638M,3.832M
Mo,11/6/17,87.85,3.084M,3.789M
,,,,
Fr,11/3/17,87.01,2.943M,3.763M
Th,11/2/17,88.6,2.606M,3.921M
We,11/1/17,89.24,3.78M,3.892M
Tu,10/31/17,89.27,5.661M,3.834M
Mo,10/30/17,85.79,5.142M,3.71M
,,,,
