Day,Date,Last Price,Volume,SMAVG(15)
Tu,3/20/18,,,
Mo,3/19/18,7344.244,575.578M,598.447M
,,,,
Fr,3/16/18,7481.988,1.266B,590.137M
Th,3/15/18,7481.742,490.337M,535.511M
We,3/14/18,7496.811,518.1M,533.974M
Tu,3/13/18,7511.012,584.272M,531.301M
Mo,3/12/18,7588.325,539.608M,525.115M
,,,,
Fr,3/9/18,7560.811,562.44M,523.598M
Th,3/8/18,7427.946,534.329M,520.106M
We,3/7/18,7396.649,550.174M,521.045M
Tu,3/6/18,7372.007,546.33M,513.901M
Mo,3/5/18,7330.705,510.518M,516.352M
,,,,
Fr,3/2/18,7257.867,564.02M,535.313M
Th,3/1/18,7180.562,596.208M,542.567M
We,2/28/18,7273.009,605.714M,541.463M
Tu,2/27/18,7330.354,532.821M,553.76M
Mo,2/26/18,7421.463,450.924M,568.984M
,,,,
Fr,2/23/18,7337.391,446.872M,580.169M
Th,2/22/18,7210.085,467.278M,586.332M
We,2/21/18,7218.228,478.004M,596.11M
Tu,2/20/18,7234.308,491.491M,597.994M
,,,,
Fr,2/16/18,7239.465,516.849M,597.67M
Th,2/15/18,7256.43,510.057M,595.568M
We,2/14/18,7143.615,548.409M,592.571M
Tu,2/13/18,7013.51,443.025M,590.727M
Mo,2/12/18,6981.964,583.087M,592.737M
,,,,
Fr,2/9/18,6874.491,794.937M,587.304M
Th,2/8/18,6777.159,672.829M,568.482M
We,2/7/18,7051.983,579.64M,554.62M
Tu,2/6/18,7115.882,790.176M,550.563M
Mo,2/5/18,6967.526,761.179M,536.42M
,,,,
Fr,2/2/18,7240.946,618.708M,516.663M
Th,2/1/18,7385.863,539.312M,505.897M
We,1/31/18,7411.482,613.952M,500.441M
Tu,1/30/18,7402.482,506.262M,492.312M
Mo,1/29/18,7466.505,486.626M,491.726M
,,,,
Fr,1/26/18,7505.772,485.316M,491.081M
Th,1/25/18,7411.164,465.112M,491.691M
We,1/24/18,7415.059,520.751M,492.983M
Tu,1/23/18,7460.289,473.16M,489.103M
Mo,1/22/18,7408.032,501.597M,485.767M
,,,,
Fr,1/19/18,7336.38,512.605M,471.881M
Th,1/18/18,7296.047,464.908M,458.797M
We,1/17/18,7298.279,518.777M,449.304M
Tu,1/16/18,7223.686,578.037M,439.593M
,,,,
Fr,1/12/18,7261.062,464.815M,430.19M
Th,1/11/18,7211.777,457.219M,428.744M
We,1/10/18,7153.572,457.484M,432.627M
Tu,1/9/18,7163.578,492.018M,438.12M
Mo,1/8/18,7157.386,497.46M,500.238M
,,,,
Fr,1/5/18,7136.558,476.963M,500.206M
Th,1/4/18,7077.915,494.453M,501.161M
We,1/3/18,7065.531,484.506M,498.647M
Tu,1/2/18,7006.898,462.548M,496.262M
,,,,
Fr,12/29/17,6903.389,423.111M,494.059M
Th,12/28/17,6950.161,293.31M,497.599M
We,12/27/17,6939.336,316.353M,508.396M
Tu,12/26/17,6936.25,322.507M,521.915M
,,,,
Fr,12/22/17,6959.96,373.107M,540.499M
Th,12/21/17,6965.361,437M,552.172M
We,12/20/17,6960.959,443.121M,571.784M
Tu,12/19/17,6963.851,515.47M,581.344M
Mo,12/18/17,6994.759,539.878M,578.822M
,,,,
Fr,12/15/17,6936.583,1.424B,572.468M
Th,12/14/17,6856.525,496.982M,492.425M
We,12/13/17,6875.799,491.291M,485.088M
Tu,12/12/17,6862.317,456.738M,483.408M
Mo,12/11/17,6875.078,448.73M,482.166M
,,,,
Fr,12/8/17,6840.081,429.507M,485.118M
Th,12/7/17,6812.841,476.206M,488.31M
We,12/6/17,6776.375,455.27M,487.067M
Tu,12/5/17,6762.213,519.138M,487.612M
Mo,12/4/17,6775.366,601.266M,483.885M
,,,,
Fr,12/1/17,6847.586,548.196M,474.789M
Th,11/30/17,6873.973,731.192M,472.795M
We,11/29/17,6824.34,586.513M,458.048M
Tu,11/28/17,6912.358,477.639M,454.386M
Mo,11/27/17,6878.521,444.566M,457.545M
,,,,
Fr,11/24/17,6889.16,223.147M,462.689M
We,11/22/17,6867.361,386.923M,483.44M
Tu,11/21/17,6862.477,466.091M,490.514M
Mo,11/20/17,6790.714,438.1M,493.521M
,,,,
Fr,11/17/17,6782.791,493.013M,496.27M
Th,11/16/17,6793.291,477.386M,501.216M
We,11/15/17,6706.208,457.57M,502.573M
Tu,11/14/17,6737.872,463.441M,505.019M
Mo,11/13/17,6757.595,463.24M,502.316M
,,,,
Fr,11/10/17,6750.939,464.826M,499.297M
Th,11/9/17,6750.053,518.277M,498.819M
We,11/8/17,6789.118,509.994M,492.613M
Tu,11/7/17,6767.783,531.577M,484.672M
Mo,11/6/17,6786.436,525.025M,474.258M
,,,,
Fr,11/3/17,6764.435,521.723M,464.214M
Th,11/2/17,6714.943,534.416M,457.32M
We,11/1/17,6716.533,493.03M,453.478M
Tu,10/31/17,6727.669,511.204M,449.257M
Mo,10/30/17,6698.963,479.333M,441.976M
,,,,
Fr,10/27/17,6701.263,567.206M,433.987M
Th,10/26/17,6556.774,497.738M,423.564M
We,10/25/17,6563.891,494.249M,418.564M
Tu,10/24/17,6598.43,422.897M,414.607M
Mo,10/23/17,6586.826,417.96M,415.71M
,,,,
Fr,10/20/17,6629.053,457.653M,417.74M
Th,10/19/17,6605.067,425.194M,420.088M
We,10/18/17,6624.22,390.882M,420.362M
Tu,10/17/17,6623.657,375.367M,425.751M
Mo,10/16/17,6624.005,374.366M,430.078M
,,,,
Fr,10/13/17,6605.801,418.308M,437.598M
Th,10/12/17,6591.51,476.788M,435.6M
We,10/11/17,6603.548,429.708M,430.55M
Tu,10/10/17,6587.251,401.986M,433.335M
Mo,10/9/17,6579.731,359.503M,435.277M
,,,,
Fr,10/6/17,6590.18,410.857M,441.032M
Th,10/5/17,6585.356,422.741M,493.261M
We,10/4/17,6534.627,434.891M,493.804M
Tu,10/3/17,6531.714,439.446M,494.644M
Mo,10/2/17,6516.718,448.404M,492.345M
,,,,
Fr,9/29/17,6495.959,492.876M,491.239M
Th,9/28/17,6453.451,429.303M,485.596M
We,9/27/17,6453.263,471.725M,485.861M
Tu,9/26/17,6380.164,440.267M,482.375M
Mo,9/25/17,6370.593,487.17M,482.305M
,,,,
Fr,9/22/17,6426.922,388.334M,473.005M
Th,9/21/17,6422.693,401.034M,479.01M
We,9/20/17,6456.044,471.492M,477.929M
Tu,9/19/17,6461.323,431.114M,471.814M
Mo,9/18/17,6454.639,445.821M,468.733M
,,,,
Fr,9/15/17,6448.467,1.194B,461.899M
