Day,Date,Last Price,Volume,SMAVG(15)
Tu,3/20/18,,,
Mo,3/19/18,2712.92,634.089M,681.418M
,,,,
Fr,3/16/18,2752.01,1.679B,676.455M
Th,3/15/18,2747.33,517.767M,597.113M
We,3/14/18,2749.48,587.912M,598.557M
Tu,3/13/18,2765.31,604.761M,599.027M
Mo,3/12/18,2783.02,586.467M,596.8M
,,,,
Fr,3/9/18,2786.57,580.605M,602.361M
Th,3/8/18,2738.97,525.023M,601.761M
We,3/7/18,2726.8,569.776M,608.917M
Tu,3/6/18,2728.12,559.826M,606.85M
Mo,3/5/18,2720.94,619.738M,620.044M
,,,,
Fr,3/2/18,2691.25,646.045M,644.48M
Th,3/1/18,2677.67,737.842M,660.118M
We,2/28/18,2713.83,750.779M,661.999M
Tu,2/27/18,2744.28,621.882M,684.624M
Mo,2/26/18,2779.6,559.643M,709.883M
,,,,
Fr,2/23/18,2747.3,488.629M,720.074M
Th,2/22/18,2703.96,539.433M,729.032M
We,2/21/18,2701.33,594.961M,747.419M
Tu,2/20/18,2716.26,571.355M,747.816M
,,,,
Fr,2/16/18,2732.22,669.883M,746.038M
Th,2/15/18,2731.2,571.607M,739.34M
We,2/14/18,2698.63,632.362M,738.163M
Tu,2/13/18,2662.94,538.762M,736.626M
Mo,2/12/18,2656,757.737M,737.108M
,,,,
Fr,2/9/18,2619.55,986.284M,726.816M
Th,2/8/18,2581,880.613M,711.325M
We,2/7/18,2681.66,766.057M,692.105M
Tu,2/6/18,2695.14,1.09B,683.268M
Mo,2/5/18,2648.94,1.001B,658.03M
,,,,
Fr,2/2/18,2762.13,712.515M,630.186M
Th,2/1/18,2821.98,623.002M,615.601M
We,1/31/18,2823.81,815.231M,609.392M
Tu,1/30/18,2822.43,600.918M,589.015M
Mo,1/29/18,2853.53,544.693M,584.36M
,,,,
Fr,1/26/18,2872.87,569.404M,583.712M
Th,1/25/18,2839.25,553.949M,583.172M
We,1/24/18,2837.54,609.308M,582.255M
Tu,1/23/18,2839.13,545.995M,575.892M
Mo,1/22/18,2832.97,603.358M,570.213M
,,,,
Fr,1/19/18,2810.3,753.915M,549.725M
Th,1/18/18,2798.03,592.317M,521.817M
We,1/17/18,2802.56,633.507M,503.016M
Tu,1/16/18,2776.42,711.574M,487.694M
,,,,
Fr,1/12/18,2786.24,583.104M,474.36M
Th,1/11/18,2767.56,493.748M,470.248M
We,1/10/18,2748.23,529.856M,474.43M
Tu,1/9/18,2751.29,509.578M,479.675M
Mo,1/8/18,2747.71,531.092M,556.062M
,,,,
Fr,1/5/18,2743.15,534.97M,555.93M
Th,1/4/18,2723.99,561.304M,557.009M
We,1/3/18,2713.06,540.193M,556.5M
Tu,1/2/18,2695.81,513.864M,554.524M
,,,,
Fr,12/29/17,2673.61,460.819M,552.94M
Th,12/28/17,2687.54,296.035M,557.289M
We,12/27/17,2682.62,335.29M,572.991M
Tu,12/26/17,2680.5,310.308M,592.865M
,,,,
Fr,12/22/17,2683.34,403.669M,620.496M
Th,12/21/17,2684.57,511.566M,638.294M
We,12/20/17,2679.25,521.434M,673.624M
Tu,12/19/17,2681.47,556.473M,682.436M
Mo,12/18/17,2690.16,608.529M,681.523M
,,,,
Fr,12/15/17,2675.81,1.655B,673.074M
Th,12/14/17,2652.01,529.124M,576.341M
We,12/13/17,2662.85,551.155M,569.169M
Tu,12/12/17,2664.11,553.661M,566.138M
Mo,12/11/17,2659.99,510.557M,560.32M
,,,,
Fr,12/8/17,2651.5,490.109M,565.615M
Th,12/7/17,2636.98,526.054M,566.143M
We,12/6/17,2629.27,531.558M,565.913M
Tu,12/5/17,2629.57,633.406M,566.083M
Mo,12/4/17,2639.44,724.763M,557.822M
,,,,
Fr,12/1/17,2642.22,670.644M,543.807M
Th,11/30/17,2647.58,1.042B,534.713M
We,11/29/17,2626.07,653.622M,499.278M
Tu,11/28/17,2627.04,542.768M,492.147M
Mo,11/27/17,2601.42,481.797M,493.515M
,,,,
Fr,11/24/17,2602.42,204.38M,496.222M
We,11/22/17,2597.08,421.544M,521.824M
Tu,11/21/17,2599.03,505.692M,530.166M
Mo,11/20/17,2582.14,466.385M,538.137M
,,,,
Fr,11/17/17,2578.85,589.986M,545.008M
Th,11/16/17,2585.64,498.027M,548.716M
