Day,Date,Last Price,Volume,SMAVG(15)
,,,,
Mo,3/19/18,60.4,6.849M,4.686M
,,,,
Fr,3/16/18,60.09,7.073M,4.427M
Th,3/15/18,59.57,2.882M,4.17M
We,3/14/18,59.93,4.136M,4.119M
Tu,3/13/18,59.68,4.375M,4M
Mo,3/12/18,60.21,3.246M,3.884M
,,,,
Fr,3/9/18,60.19,4.784M,3.85M
Th,3/8/18,58.88,8.549M,3.745M
We,3/7/18,56.3,3.225M,3.42M
Tu,3/6/18,56.23,3.798M,3.4M
Mo,3/5/18,55.14,4.328M,3.372M
,,,,
Fr,3/2/18,54.12,3.143M,3.459M
Th,3/1/18,54,5.929M,3.555M
We,2/28/18,53.4,4.306M,3.563M
Tu,2/27/18,52.87,3.663M,3.913M
Mo,2/26/18,53.55,2.972M,4.159M
,,,,
Fr,2/23/18,53.29,3.214M,4.399M
Th,2/22/18,51.36,2.121M,4.542M
We,2/21/18,51.44,2.345M,4.741M
Tu,2/20/18,52.12,2.636M,5.102M
,,,,
Fr,2/16/18,51.42,2.739M,5.522M
Th,2/15/18,51.52,3.208M,5.827M
We,2/14/18,51.37,3.675M,5.855M
Tu,2/13/18,49.63,2.92M,5.98M
Mo,2/12/18,49.17,3.38M,5.998M
,,,,
Fr,2/9/18,47.82,5.633M,6.012M
Th,2/8/18,47.44,4.588M,5.895M
We,2/7/18,49.55,6.043M,5.854M
Tu,2/6/18,48.68,9.557M,5.726M
Mo,2/5/18,49.65,7.359M,5.548M
,,,,
Fr,2/2/18,51.77,6.567M,5.574M
Th,2/1/18,54.44,5.356M,5.552M
We,1/31/18,55.2,5.11M,5.449M
Tu,1/30/18,54.98,7.756M,5.808M
Mo,1/29/18,55.11,8.941M,6.855M
,,,,
Fr,1/26/18,54.94,7.319M,6.405M
Th,1/25/18,53.17,3.618M,6.105M
We,1/24/18,52.97,5.552M,6.094M
Tu,1/23/18,54.06,3.192M,5.916M
Mo,1/22/18,53.16,3.592M,5.828M
,,,,
Fr,1/19/18,52.62,3.871M,5.68M
Th,1/18/18,52.01,3.982M,5.55M
