Day,Date,Last Price,Volume,SMAVG(15)
,,,,
Mo,3/19/18,157.35,5.481M,4.685M
,,,,
Fr,3/16/18,160.26,9.263M,4.561M
Th,3/15/18,159.61,3.871M,4.16M
We,3/14/18,158.12,3.632M,4.17M
Tu,3/13/18,159.32,4.186M,4.177M
Mo,3/12/18,160.26,5.063M,4.197M
,,,,
Fr,3/9/18,159.31,5.022M,4.145M
Th,3/8/18,156.21,6.456M,4.185M
We,3/7/18,158.32,4.608M,4.12M
Tu,3/6/18,155.72,3.686M,4.139M
Mo,3/5/18,156.95,3.671M,4.285M
,,,,
Fr,3/2/18,154.49,3.261M,4.562M
Th,3/1/18,153.81,4.039M,4.797M
We,2/28/18,155.83,3.804M,4.938M
Tu,2/27/18,156.55,4.237M,5.342M
Mo,2/26/18,158.58,3.61M,5.643M
,,,,
Fr,2/23/18,155.52,3.256M,5.752M
Th,2/22/18,153.18,4.025M,5.831M
We,2/21/18,153.96,3.729M,5.834M
Tu,2/20/18,155.16,4.49M,5.912M
,,,,
Fr,2/16/18,156.18,4.283M,5.847M
Th,2/15/18,156.01,5.624M,5.814M
We,2/14/18,154.76,5.479M,5.659M
Tu,2/13/18,150.75,4.891M,5.67M
Mo,2/12/18,151.4,5.881M,5.842M
,,,,
Fr,2/9/18,149.51,7.828M,6.015M
Th,2/8/18,147.59,6.779M,6.905M
We,2/7/18,153.85,6.149M,7.404M
Tu,2/6/18,155.34,9.868M,7.774M
Mo,2/5/18,152.53,8.747M,7.636M
,,,,
Fr,2/2/18,159.03,5.252M,7.389M
Th,2/1/18,162.4,4.434M,7.291M
We,1/31/18,163.7,4.073M,7.274M
Tu,1/30/18,163.62,4.902M,7.292M
Mo,1/29/18,166.8,3.517M,7.314M
,,,,
Fr,1/26/18,167.34,3.788M,7.426M
Th,1/25/18,165.47,3.303M,7.677M
We,1/24/18,165.37,5.645M,8.087M
Tu,1/23/18,166.25,7.466M,7.991M
Mo,1/22/18,162.6,8.481M,7.715M
,,,,
Fr,1/19/18,162.37,21.172M,7.328M
Th,1/18/18,169.12,14.259M,6.06M
We,1/17/18,168.65,11.71M,5.275M
Tu,1/16/18,163.85,7.794M,4.694M
,,,,
Fr,1/12/18,163.14,5.032M,4.451M
Th,1/11/18,164.2,3.794M,4.368M
We,1/10/18,164.18,4.174M,4.389M
Tu,1/9/18,163.83,4.342M,4.451M
Mo,1/8/18,163.47,5.238M,4.913M
,,,,
Fr,1/5/18,162.49,5.196M,4.873M
Th,1/4/18,161.7,7.556M,4.904M
We,1/3/18,158.49,9.442M,4.822M
Tu,1/2/18,154.25,4.203M,4.466M
,,,,
Fr,12/29/17,153.42,3.327M,4.42M
Th,12/28/17,154.04,2.688M,4.45M
We,12/27/17,153.13,2.149M,4.498M
Tu,12/26/17,152.83,2.479M,4.693M
,,,,
Fr,12/22/17,152.5,2.991M,4.839M
Th,12/21/17,151.5,4.154M,5.01M
We,12/20/17,152.95,3.786M,5.167M
Tu,12/19/17,153.23,4.116M,5.254M
Mo,12/18/17,153.33,5.093M,5.245M
,,,,
Fr,12/15/17,152.5,11.28M,5.13M
Th,12/14/17,154,4.637M,4.458M
We,12/13/17,153.91,5.662M,4.363M
Tu,12/12/17,156.74,6.322M,4.236M
Mo,12/11/17,155.41,4.103M,4.193M
,,,,
Fr,12/8/17,154.81,3.52M,4.247M
Th,12/7/17,153.57,3.771M,4.375M
We,12/6/17,154.1,3.411M,4.442M
Tu,12/5/17,155.35,5.068M,4.465M
Mo,12/4/17,156.46,4.664M,4.468M
,,,,
Fr,12/1/17,154.76,5.568M,4.444M
Th,11/30/17,153.97,6.501M,4.391M
We,11/29/17,153.55,5.099M,4.267M
Tu,11/28/17,152.47,3.974M,4.174M
Mo,11/27/17,151.98,3.374M,4.209M
,,,,
Fr,11/24/17,151.84,1.193M,4.279M
We,11/22/17,151.77,3.214M,4.426M
Tu,11/21/17,151.95,3.756M,4.428M
Mo,11/20/17,150.51,5.676M,4.466M
,,,,
Fr,11/17/17,148.97,4.917M,4.369M
Th,11/16/17,149.12,5.446M,4.367M
We,11/15/17,147.1,4.773M,4.291M
Tu,11/14/17,148.89,3.758M,4.434M
Mo,11/13/17,148.4,5.108M,4.73M
,,,,
Fr,11/10/17,149.16,4.307M,4.774M
Th,11/9/17,150.3,4.777M,5.012M
We,11/8/17,151.57,4.634M,5.354M
Tu,11/7/17,151.35,3.701M,7.078M
Mo,11/6/17,150.84,4.499M,7.256M
,,,,
Fr,11/3/17,151.58,4.432M,7.16M
Th,11/2/17,153.35,3.398M,7.031M
We,11/1/17,154.03,3.24M,7.023M
Tu,10/31/17,154.06,4.328M,7.053M
Mo,10/30/17,154.36,4.21M,7.034M
,,,,
Fr,10/27/17,153.68,4.895M,6.932M
Th,10/26/17,153.6,4.301M,6.78M
We,10/25/17,153.5,6.921M,6.673M
Tu,10/24/17,155.88,8.195M,6.361M
Mo,10/23/17,159.55,5.779M,5.968M
,,,,
Fr,10/20/17,162.07,7.869M,5.781M
Th,10/19/17,160.9,9.914M,5.433M
We,10/18/17,159.53,30.49M,4.958M
Tu,10/17/17,146.54,6.372M,3.158M
Mo,10/16/17,146.83,3.052M,3.033M
,,,,
Fr,10/13/17,147.1,2.507M,3.177M
Th,10/12/17,147.03,3.264M,3.196M
We,10/11/17,147.62,3.702M,3.149M
Tu,10/10/17,148.5,4.033M,3.265M
Mo,10/9/17,147.39,2.683M,3.227M
,,,,
Fr,10/6/17,146.48,2.623M,3.25M
Th,10/5/17,146.72,2.687M,3.568M
We,10/4/17,146.48,2.244M,3.639M
Tu,10/3/17,146.78,2.303M,3.763M
Mo,10/2/17,146.66,2.973M,3.959M
,,,,
Fr,9/29/17,145.08,2.655M,4.068M
Th,9/28/17,145.66,2.775M,4.115M
We,9/27/17,145.66,3.503M,4.21M
Tu,9/26/17,146.56,4.489M,4.194M
Mo,9/25/17,145.87,5.213M,4.102M
,,,,
